Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Kevin Love\loveke01,30,$24119025,$28900000,$31300000,$31300000,$28900000,,Bird Rights,$144519025
Tristan Thompson\thomptr01,28,$17469565,$18539130,,,,,Bird Rights,$36008695
J.R. Smith\smithjr01,33,$14720000,$15680000,,,,,Bird Rights,$18590000
Brandon Knight\knighbr03,27,$14631250,$15643750,,,,,,$30275000
Jordan Clarkson\clarkjo01,27,$12500000,$13437500,,,,,Cap Space,$25937500
John Henson\hensojo01,28,$11327466,$9732396,,,,,1st Round Pick,$21059862
Matthew Dellavedova\dellama01,28,$9607500,$9607500,,,,,Cap Space,$19215000
Collin Sexton\sextoco01,20,$4068600,$4764960,$4991880,$6349671,,,1st Round Pick,$8833560
Marquese Chriss\chrisma01,21,$3206160,,,,,,1st Rd pick,$3206160
Cedi Osman\osmande01,24,$2775000,$2907143,,,,,MLE,$5682143
Channing Frye\fryech01,36,$2393887,,,,,,Minimum Salary,$2393887
Larry Nance\nancela02,26,$2272391,$12727273,$11709091,$10690909,$9672727,,1st Round pick,$47072391
Ante Zizic\zizican01,22,$1952760,$2281800,$3872215,,,,1st Round Pick,$4234560
David Nwaba\nwabada01,26,$1512601,,,,,,Minimum Salary,$1512601
Nik Stauskas\stausni01,25,$540472,,,,,,,$540472
Deng Adel\adelde01,22,,,,,,,Two-Way Contract,
Jaron Blossomgame\blossja01,25,,,,,,,Two-way Contract,
Isaiah Taylor\taylois01,24,$950000,,,,,,,$950000
Patrick McCaw\mccawpa01,23,$323529,,,,,,,$323529
Cameron Payne\payneca01,24,$177063,,,,,,,$177063
Kobi Simmons\simmoko01,21,$76236,,,,,,,$76236
Team Totals,,$124623505,$134221452,$51873186,$48340580,$38572727,,,$370607684
