Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Stephen Curry,31,$37457154,$40231758,$43006362,$45780966,,,Bird Rights,$166476240
Kevin Durant,30,$30000000,$31500000,,,,,,$30000000
Klay Thompson,29,$18988725,,,,,,1st Round Pick,$18988725
Draymond Green,29,$17469565,$18539130,,,,,Bird Rights,$36008695
Andre Iguodala,35,$16000000,$17185185,,,,,Bird Rights,$33185185
Shaun Livingston,33,$8307692,$7692308,,,,,Bird Rights,$10307692
DeMarcus Cousins,28,$5337000,,,,,,MLE,$5337000
Andrew Bogut,34,$2393887,,,,,,Minimum Salary,$2393887
Jonas Jerebko,32,$2165481,,,,,,Minimum Salary,$2165481
Jacob Evans,22,$1644240,$1925880,$2017320,$3641263,,,1st Round Pick,$3570120
Kevon Looney,23,$1567007,,,,,,,$1567007
Quinn Cook,26,$1544951,,,,,,,$1544951
Damian Jones,23,$1544951,$2305057,,,,,1st Round pick,$3850008
Jordan Bell,24,$1378252,,,,,,Minimum Salary,$1378252
Alfonzo McKinnie,26,$1349383,$1588231,,,,,Minimum Salary,$1349383
Damion Lee,26, ,,,,,,Two-Way Contract, 
Marcus Derrickson,23, ,,,,,,Two-Way Contract, 
Jason Thompson,32,$945126,,,,,,,$945126
Team Totals,,$148093414,$120967549,$45023682,$49422229,,,,$319067752
