Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Mike Conley\conlemi01,31,$30521116,$32511623,$34504132,,,,Cap Space,$85459122
Chandler Parsons\parsoch01,30,$24107258,$25102511,,,,,Cap Space,$49209769
Jonas Valanciunas\valanjo01,27,$16539326,$17617977,,,,,1st Round Pick,$16539326
Avery Bradley\bradlav01,28,$12000000,$12960000,,,,,,$12000000
Kyle Anderson\anderky01,25,$8641000,$9073050,$9505100,$9937150,,,MLE,$37156300
C.J. Miles\milescj01,32,$8333333,$8730158,,,,,MLE,$17063491
Jaren Jackson\jacksja02,19,$5915040,$6927480,$7257360,$9180560,,,1st Round Pick,$12842520
Justin Holiday\holidju01,30,$4384616,,,,,,MLE,$4384616
Delon Wright\wrighde01,27,$2536898,,,,,,1st Round pick,$2536898
Joakim Noah\noahjo01,34,$1731173,,,,,,Minimum Salary,
Ivan Rabb\rabbiv01,22,$1378242,$1618520,,,,,MLE,$1378242
Tyler Dorsey\dorsety01,23,$1378242,,,,,,Minimum Salary,$1378242
Dillon Brooks\brookdi01,23,$1378242,$1618520,,,,,MLE,$1378242
Jevon Carter\carteje01,23,$838464,$1416852,,,,,MInimum Salary,$2255316
Bruno Caboclo\cabocbr01,23,$487000,$1845301,,,,,,$487000
Tyler Zeller\zellety01,29,,,,,,,,
Julian Washburn\washbju01,27,,,,,,,Two-Way Contract,
Yuta Watanabe\watanyu01,24,,,,,,,Two-Way Contract,
Omri Casspi\casspom01,30,$2176260,,,,,,,$2176260
Rade Zagorac\zagorra01,23,$1378242,,,,,,,$1378242
Dakari Johnson\johnsda04,23,$459414,$459414,$459414,,,,,$1378242
Andrew Harrison\harrian01,24,$200000,,,,,,,$200000
Bruno Caboclo\cabocbr01,23,$183211,,,,,,,$183211
Jamaal Franklin\frankja01,27,$163296,,,,,,,$163296
Dusty Hannahs\hannadu01,25,$47371,,,,,,,$47371
Team Totals,,$124777744,$119881406,$51726006,$19117710,,,,$249595706
