Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Hassan Whiteside,30,$25434263,$27093018,,,,,Cap Space,$25434263
Ryan Anderson,31,$20421546,$15600000,,,,,Cap Space,$36021546
Goran Dragic,33,$18109175,$19217900,,,,,Bird Rights,$37327075
James Johnson,32,$14651700,$15349400,$16047100,,,,Cap space,$30001100
Kelly Olynyk,28,$12137527,$11667885,$12198243,,,,Cap space,$23805412
Dion Waiters,27,$11550000,$12100000,$12650000,,,,Cap space,$36300000
Josh Richardson,25,$9367200,$10100000,$10800000,$11600000,,,Minimum Salary,$30267200
Justise Winslow,23,$3448926,$13000000,$13000000,$13000000,,,1st round pick,$29448926
Bam Adebayo,21,$2955840,$3454080,$5115492,,,,1st Round Pick,$6409920
Udonis Haslem,39,$2393887,,,,,,Minimum Salary,$2393887
Dwyane Wade,37,$2393887,,,,,,Minimum Salary,$2393887
Derrick Jones,22,$1512601,$1645357,,,,,Minimum Salary,$1512601
Kendrick Nunn,23,,,,,,,,
Duncan Robinson,25,,,,,,,,
Yante Maten,22,,,,,,,Mid-level Exception,
Chris Bosh,35,$26837720,,,,,,,$26837720
A.J. Hammons,26,$350088,$350087,$350087,,,,,$1050262
Charles Cooke,24,$76236,,,,,,,$76236
Emanuel Terry,22,$47371,,,,,,,$47371
Team Totals,,$151687967,$129577727,$70160922,$24600000,,,,$289327406
