Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
DeAndre Jordan,30,$22900000,,,,,,,$22900000
Lance Thomas,31,$7119650,$7583975,,,,,Cap Space,$8119650
Mario Hezonja,24,$6500000,,,,,,MLE,$6500000
Emmanuel Mudiay,23,$4294480,,,,,,1st round pick,$4294480
Frank Ntilikina,20,$4155720,$4855800,$6176578,,,,1st Round Pick,$9011520
Dennis Smith,21,$3819960,$4463640,$5686677,,,,1st Round Pick,$8283600
Kevin Knox,19,$3739920,$4380120,$4588680,$5845978,,,1st Round Pick,$8120040
Allonzo Trier,23,$3382000,$3551100,,,,,Bi-Annual Exception,$6933100
Noah Vonleh,23,$1621415,,,,,,Minimum Salary,$1621415
Luke Kornet,23,$1619000,,,,,,,$1619000
Mitchell Robinson,21,$1485440,$1559712,$1663861,$1802057,,,MLE,$3045152
Damyean Dotson,25,$1378242,$1618520,,,,,Minimum Salary,$1378242
Henry Ellenson,22,$341831,$1645357,,,,,,$341831
John Jenkins,28,$99290,,,,,,,$99290
Kadeem Allen,26, ,,,,,,Two-Way Contract, 
Isaiah Hicks,24, ,,,,,,Two-Way Contract, 
Billy Garrett,24,,,,,,,,
Wesley Matthews,32,$18622514,,,,,,,$18622514
Enes Kanter,27,$18622514,,,,,,,$18622514
Joakim Noah,34,$18530000,$6431666,$6431666,$6431666,,,,$37824998
Ron Baker,26,$4544400,,,,,,,$4544400
John Jenkins,28,$99290,,,,,,,$99290
Henry Ellenson,22,$85458,,,,,,,$85458
Team Totals,,$122961124,$36089890,$24547462,$14079701,,,,$162066494
