Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Aaron Gordon\gordoaa01,23,$21590909,$19863636,$18136364,$16409091,,,,$76000000
Evan Fournier\fournev01,26,$17000000,$17000000,$17000000,,,,Cap Space,$34000000
Timofey Mozgov\mozgoti01,32,$16000000,$16720000,,,,,Cap Space,$32720000
Nikola Vucevic\vucevni01,28,$12750000,,,,,,Bird Rights,$12750000
Terrence Ross\rosste01,28,$10500000,,,,,,Rookie scale extension,$10500000
Markelle Fultz\fultzma01,21,$8339880,$9745200,$12288697,,,,1st Round Pick,$18085080
D.J. Augustin\augusdj01,31,$7250000,$7250000,,,,,Cap Space,$14500000
Jonathan Isaac\isaacjo01,21,$4969080,$5806440,$7362566,,,,1st Round Pick,$10775520
Mohamed Bamba\bambamo01,21,$4865040,$5697600,$5969040,$7568742,,,1st Round Pick,$24100422
Jerian Grant\grantje02,26,$2639314,,,,,,1st Round pick,$2639314
Jarell Martin\martija01,25,$2416222,,,,,,1st Round pick,$2416222
Khem Birch\birchkh01,26,$1378242,,,,,,Minimum Salary,$1378242
Wesley Iwundu\iwundwe01,24,$1378242,$1618520,,,,,,$1378242
Melvin Frazier\frazime01,22,$1050000,$1416852,$1663861,,,,MLE,$2466852
Michael Carter-Williams\cartemi01,27,,,,,,,,
Amile Jefferson\jeffeam01,26,,,,,,,Two-Way Contract,
Troy Caupain\caupatr01,23,,,,,,,Two-Way Contract,
Shelvin Mack\macksh01,29,$1000000,,,,,,,$1000000
Isaiah Briscoe\briscis01,23,$838464,,,,,,,$838464
C.J. Watson\watsocj01,35,$333333,$333333,,,,,,$666666
Michael Carter-Williams\cartemi01,27,$198580,,,,,,,$198580
Team Totals,,$114497306,$85451581,$62420528,$23977833,,,,$246413604
