School,Grade,Ethnicity,HomeLang,ReadingPercentTotal,MathPercentTotal
226,0,Asian,Cantonese,NA,83.5
226,0,Asian,Vietnamese,83.5,NA
226,0,African-American,NA,68.5,68
244,0,African-American,Oromo (Ethiopia),NA,NA
226,0,African-American,NA,43.5,61.5
945,0,M,NA,70.5,74.5
117,8,African-American,NA,72.5,58.5
226,3,Asian,Vietnamese,15.5,47.5
245,1,White,NA,NA,NA
226,3,Asian,Pashto,23.5,24
226,4,Hispanic,Spanish,59.5,51
288,0,African-American,Amharic,75.5,75
117,8,Hispanic,NA,61,97.5
117,6,Asian,Pashto,40,43
226,4,African-American,Somali,45,20.5
226,1,African-American,Somali,44.5,37.5
233,1,Asian,Toishanese,19,75
226,0,African-American,Somali,92.5,86
983,6,Asian,Toishanese,1,15.5
226,0,African-American,Somali,43,44.5
249,1,African-American,NA,87,87.5
226,0,Asian,Pashto,59,56.5
945,3,White,NA,NA,NA
269,0,African-American,NA,3.5,4.5
226,0,African-American,Somali,48.5,45.5
226,0,Hispanic,Spanish,17.5,14
226,0,African-American,Amharic,62,67
249,0,Hispanic,NA,NA,NA
226,3,African-American,Somali,9.5,2.5
226,0,Hispanic,Spanish,13,6
226,2,African-American,Somali,48.5,49
244,0,White,NA,NA,NA
212,0,African-American,French,7.5,9.5
117,6,African-American,Somali,2.5,1.5
226,0,African-American,Amharic,33.5,60.5
117,7,African-American,NA,NA,NA
226,1,African-American,Somali,37.5,37.5
226,2,P,NA,51,33
226,1,M,NA,45.5,24
249,2,M,NA,66.5,92
226,0,African-American,Somali,32,15.5
226,2,African-American,Somali,52.5,68.5
226,4,African-American,Tigrinya (Tigrigna),39,41
226,2,Asian,Cebuano,66,59
226,1,M,NA,72.5,70
245,4,African-American,NA,19,33
245,1,African-American,NA,NA,NA
244,0,White,French,NA,NA
226,1,African-American,English,91,81
226,2,African-American,Swahili,77,91.5
226,0,African-American,NA,NA,NA
226,1,Asian,Japanese,41,49.5
256,2,White,NA,87,99
226,1,African-American,NA,NA,NA
244,2,African-American,Somali,56.5,69.5
226,1,African-American,Amharic,NA,NA
117,6,African-American,Tigrinya (Tigrigna),67,68.5
226,0,Asian,Toishanese,15,26
226,2,African-American,Amharic,NA,NA
226,0,African-American,Amharic,95.5,84.5
117,7,African-American,Amharic,NA,NA
226,1,African-American,Somali,43.5,18.5
226,0,African-American,Somali,38.5,28.5
218,1,Asian,Vietnamese,5.5,17
226,1,African-American,NA,94,88
117,7,Asian,Vietnamese,59.5,71.5
226,0,Asian,Cambodian,36.5,48.5
226,0,African-American,Nuer,14,37.5
233,1,Asian,Toishanese,NA,NA
117,7,Asian,Pashto,9,16
226,3,African-American,French,71,49
226,1,M,NA,74,86
226,1,M,NA,83.5,68.5
226,3,M,NA,17,16
226,0,African-American,Somali,15,15.5
226,0,White,NA,42.5,17.5
244,0,White,NA,NA,NA
248,1,Asian,NA,19.5,31
226,1,African-American,NA,NA,NA
226,1,African-American,NA,NA,NA
226,1,M,NA,80,61.5
288,0,Asian,Vietnamese,15,80.5
226,0,White,NA,NA,94
117,6,Hispanic,NA,62.5,71
117,6,African-American,Tigrinya (Tigrigna),1,6
117,6,African-American,Tigrinya (Tigrigna),1,6
226,0,African-American,Pashto,43.5,55.5
