tab6,ProxyID,1,2,3,4,5,6,7,8,9,10,11,12
6) AP_Crs,3270411,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,,
6) AP_Crs,3545789,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,3705788,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,3813714,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,
6) AP_Crs,3947417,HSS0568/AP WORLD HISTORY 1,,,,,,,,,,,
6) AP_Crs,3966742,HMA1938/AP CALCULUS BC A,HMA1939/AP CALCULUS BC B,,,,,,,,,,
6) AP_Crs,6665789,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,6695749,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC2400/AP PHYSICS C1,HSC2401/AP PHYSICS C2,HSS0487/AP AMER GOVERNMENT,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,,
6) AP_Crs,7020011,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,,,,,,,
6) AP_Crs,7038946,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7053913,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3553/AP JAPANESE 5A,,,,,,,
6) AP_Crs,7055265,HSS0568/AP WORLD HISTORY 1,,,,,,,,,,,
6) AP_Crs,7078280,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC1184/AP CHEMISTRY 2,HSC3011/AP CHEMISTRY,,,,,,,,
6) AP_Crs,7089335,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC1184/AP CHEMISTRY 2,HSC3011/AP CHEMISTRY,HSS0487/AP AMER GOVERNMENT,,,,,
6) AP_Crs,7121298,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7121959,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7122183,HCT0575/AP COMPUTER SCI A 1,HCT0576/AP COMPUTER SCI A 2,HCT3227/AP MACROECONOMICS 1A,HCT3228/AP MACROECONOMICS 1B,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HMA1944/AP STATISTICS A,HMA1945/AP STATISTICS B,HSC3012/AP BIOLOGY,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,
6) AP_Crs,7132253,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3534/AP FRENCH 5A,HWL3535/AP FRENCH 5B,,,,,,
6) AP_Crs,7146300,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3572/AP SPANISH 5A,HWL3573/AP SPANISH 5B,,,,,,
6) AP_Crs,7172806,HCT0575/AP COMPUTER SCI A 1,HCT0576/AP COMPUTER SCI A 2,HSC1184/AP CHEMISTRY 2,HSC3011/AP CHEMISTRY,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,,,
6) AP_Crs,7180878,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7185031,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,,,
6) AP_Crs,7199244,HLA2492/AP ENG LANG COMP 1,,,,,,,,,,,
6) AP_Crs,7206295,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,,,,,,,,,
6) AP_Crs,7208244,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,
6) AP_Crs,7212888,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7271133,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,,,
6) AP_Crs,7300497,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,,,,,,,,,
6) AP_Crs,7353844,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,,,,,,,,,
6) AP_Crs,7359643,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7389289,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,,,,,,,,,,
6) AP_Crs,7395088,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,,,
6) AP_Crs,7424027,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,,,
6) AP_Crs,7478275,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HOD3390/OOD-AP WRLD HIST 2,,,,,,,,,
6) AP_Crs,7483667,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,,,
6) AP_Crs,7496942,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7540244,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC1184/AP CHEMISTRY 2,HSC3011/AP CHEMISTRY,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,
