tab2,ProxyID,PossibleDaysYTD,AbsencesYTD,UnexcusedAbsencesYTD,AttendanceRateYTD,UnexcusedRateYTD
2) Attend,3001717,180,15,10.5,92%,6%
2) Attend,3001751,184,5,0,97%,0%
2) Attend,3001759,121,5.5,0,95%,0%
2) Attend,3003751,184,3,0,98%,0%
2) Attend,3004741,70,22.5,22.5,68%,32%
2) Attend,3005781,184,3.5,0.5,98%,0%
2) Attend,3006735,184,9,5,95%,3%
2) Attend,3013750,184,11,1,94%,1%
2) Attend,3014714,113,0,0,100%,0%
2) Attend,3015716,187,7.5,4.5,96%,2%
2) Attend,3016744,184,1,0,99%,0%
2) Attend,3018732,184,3,0,98%,0%
2) Attend,3020717,184,6,0,97%,0%
2) Attend,3021733,184,19,1,90%,1%
2) Attend,3026749,184,1.5,0,99%,0%
2) Attend,3027752,184,5,0,97%,0%
2) Attend,3039412,184,1,0,99%,0%
2) Attend,3041752,184,3,1,98%,1%
2) Attend,3042715,184,25,5,86%,3%
2) Attend,3042789,184,1,0,99%,0%
2) Attend,3042796,184,2,0,99%,0%
2) Attend,3044745,184,7,0,96%,0%
2) Attend,3044789,187,0,0,100%,0%
2) Attend,3056791,184,11,3,94%,2%
2) Attend,3057755,184,10,1,95%,1%
2) Attend,3058714,184,12,1,93%,1%
2) Attend,3067737,184,2,1,99%,1%
2) Attend,3070758,184,8,0,96%,0%
2) Attend,3089757,184,2,1,99%,1%
2) Attend,3094412,184,8,4,96%,2%
2) Attend,3094732,184,3,0,98%,0%
2) Attend,3098755,184,1,0,99%,0%
2) Attend,3102745,187,20,20,89%,11%
2) Attend,3115742,187,10,1.5,95%,1%
2) Attend,3116780,184,13,4,93%,2%
2) Attend,3118786,184,11.5,3.5,94%,2%
2) Attend,3120780,184,15,3,92%,2%
2) Attend,3123751,184,5.5,0,97%,0%
2) Attend,3129780,184,17,4,91%,2%
2) Attend,3131751,184,10,4,95%,2%
2) Attend,3137757,184,3,1,98%,1%
2) Attend,3138745,180,5,2,97%,1%
2) Attend,3142418,95,0,0,100%,0%
2) Attend,3144745,184,8,2,96%,1%
2) Attend,3145714,184,3,1,98%,1%
2) Attend,3155750,184,32.5,11,82%,6%
2) Attend,3156745,184,7,0,96%,0%
2) Attend,3157411,127,3,1,98%,1%
2) Attend,3159754,184,0,0,100%,0%
2) Attend,3167412,184,22,13.5,88%,7%
2) Attend,3168417,182,8.5,4.5,95%,2%
2) Attend,3172418,102,3.5,3.5,97%,3%
2) Attend,3172742,184,11,0,94%,0%
2) Attend,3172795,184,12.5,2,93%,1%
2) Attend,3174742,184,6,1,97%,1%
