,,,,,,,,,,,,,,,,,,,,
ProxyID,SchoolCode,SocialEmotionalScaleScore,SocialEmotionalDevelopmentLevel,SocialEmotionalReadinessFlag,physicalScaleScore,physicalDevelopmentLevel,physicalReadinessFlag,LanguageScaleScore,LanguageDevelopmentLevel,LanguageReadinessFlag,CognitiveScaleScore,CognitiveDevelopmentLevel,CognitiveReadinessFlag,LiteracyScaleScore,LiteracyDevelopmentLevel,LiteracyReadinessFlag,MathScaleScore,MathDevelopmentLevel,MathReadinessFlag,NumberofDomainsReadyforKindergarten
3006735,,583,Green,N,646,Purple,Y,675,Purple,Y,670,Blue,Y,709,Purple,Y,615,Blue,N,4
3013750,,684,Purple,Y,627,Blue,Y,639,Blue,Y,616,Blue,Y,595,Blue,Y,634,Blue,N,5
3018732,,653,Purple,Y,605,Blue,Y,486,Yellow,N,591,Blue,N,507,Yellow,N,545,Green,N,2
3021733,,732,Purple,Y,646,Purple,Y,690,Purple,Y,688,Purple,Y,669,Purple,Y,647,Blue,Y,6
3039412,,595,Blue,Y,592,Blue,Y,628,Blue,Y,640,Blue,Y,651,Purple,Y,647,Blue,Y,6
3042796,,583,Green,N,646,Purple,Y,505,Yellow,N,628,Blue,Y,633,Blue,Y,545,Green,N,3
3056791,,653,Purple,Y,666,Purple,Y,667,Blue,Y,603,Blue,Y,614,Blue,Y,615,Blue,N,5
3167412,,696,Purple,Y,666,Purple,Y,658,Blue,Y,616,Blue,Y,629,Blue,Y,634,Blue,N,5
3168417,,558,Green,N,592,Blue,Y,536,Green,N,548,Green,N,470,Yellow,N,483,Yellow,N,1
3180748,,583,Green,N,627,Blue,Y,580,Blue,N,654,Blue,Y,651,Purple,Y,661,Blue,Y,4
3183733,,732,Purple,Y,666,Purple,Y,705,Purple,Y,723,Purple,Y,694,Purple,Y,668,Blue,Y,6
3255412,,795,Purple,Y,656,Purple,Y,740,Purple,Y,778,Purple,Y,644,Purple,Y,647,Blue,Y,6
3259412,,627,Blue,Y,617,Blue,Y,639,Blue,Y,640,Blue,Y,580,Blue,N,557,Green,N,4
3286419,,516,Green,N,565,Green,N,580,Blue,N,533,Green,N,539,Green,N,602,Green,N,0
3289746,,583,Green,N,565,Green,N,536,Green,N,688,Purple,Y,658,Purple,Y,634,Blue,N,2
3308780,,452,Orange,N,, , ,597,Blue,Y,, , ,, , ,773,Purple,Y, 
3310790,,583,Green,N,627,Blue,Y,667,Blue,Y,640,Blue,Y,767,Purple,Y,691,Purple,Y,5
3323790,,583,Green,N,646,Purple,Y,597,Blue,Y,670,Blue,Y,683,Purple,Y,641,Blue,Y,5
3331735,,595,Blue,Y,637,Blue,Y,617,Blue,Y,670,Blue,Y,665,Purple,Y,641,Blue,Y,6
3363412,,583,Green,N,605,Blue,Y,567,Green,N,628,Blue,Y,591,Blue,Y,557,Green,N,3
3378739,,684,Purple,Y,679,Purple,Y,639,Blue,Y,688,Purple,Y,782,Purple,Y,698,Purple,Y,6
3386730,,614,Blue,Y,646,Purple,Y,658,Blue,Y,670,Blue,Y,709,Purple,Y,615,Blue,N,5
3406739,,708,Purple,Y,627,Blue,Y,628,Blue,Y,654,Blue,Y,618,Blue,Y,683,Blue,Y,6
3407732,,696,Purple,Y,679,Purple,Y,740,Purple,Y,764,Purple,Y,739,Purple,Y,773,Purple,Y,6
3426796,,583,Green,N,627,Blue,Y,530,Green,N,628,Blue,Y,625,Blue,Y,641,Blue,Y,4
3449796,,795,Purple,Y,679,Purple,Y,675,Purple,Y,670,Blue,Y,625,Blue,Y,661,Blue,Y,6
3459417,,583,Green,N,646,Purple,Y,675,Purple,Y,670,Blue,Y,709,Purple,Y,691,Purple,Y,5
3474795,,696,Purple,Y,679,Purple,Y,721,Purple,Y,778,Purple,Y,724,Purple,Y,748,Purple,Y,6
3492419,,583,Green,N,627,Blue,Y,639,Blue,Y,670,Blue,Y,662,Purple,Y,698,Purple,Y,5
3581795,,684,Purple,Y,666,Purple,Y,705,Purple,Y,654,Blue,Y,651,Purple,Y,634,Blue,N,5
3600795,,640,Blue,Y,646,Purple,Y,588,Blue,Y,603,Blue,Y,618,Blue,Y,668,Blue,Y,6
3608798,,614,Blue,Y,617,Blue,Y,597,Blue,Y,578,Green,N,580,Blue,N,683,Blue,Y,4
3613791,,614,Blue,Y,646,Purple,Y,580,Blue,N,654,Blue,Y,698,Purple,Y,683,Blue,Y,5
3663794,,640,Blue,Y,637,Blue,Y,530,Green,N,578,Green,N,561,Green,N,602,Green,N,2
3678744,,558,Green,N,533,Green,N,530,Green,N,563,Green,N,, , ,576,Green,N, 
3679744,,614,Blue,Y,554,Green,N,536,Green,N,578,Green,N,576,Blue,N,595,Green,N,1
3693794,,583,Green,N,698,Purple,Y,617,Blue,Y,616,Blue,Y,625,Blue,Y,661,Blue,Y,5
3721796,,684,Purple,Y,646,Purple,Y,705,Purple,Y,738,Purple,Y,701,Purple,Y,740,Purple,Y,6
3782796,,672,Purple,Y,646,Purple,Y,690,Purple,Y,688,Purple,Y,651,Purple,Y,661,Blue,Y,6
3785790,,, , ,, , ,, , ,, , ,, , ,, , , 
3785790,,595,Blue,Y,646,Purple,Y,639,Blue,Y,670,Blue,Y,705,Purple,Y,641,Blue,Y,6
3792743,,583,Green,N,646,Purple,Y,617,Blue,Y,670,Blue,Y,709,Purple,Y,647,Blue,Y,5
3807419,,672,Purple,Y,627,Blue,Y,658,Blue,Y,654,Blue,Y,640,Blue,Y,634,Blue,N,5
3885739,,614,Blue,Y,646,Purple,Y,628,Blue,Y,670,Blue,Y,694,Purple,Y,621,Blue,N,5
3904795,,614,Blue,Y,627,Blue,Y,580,Blue,N,616,Blue,Y,595,Blue,Y,641,Blue,Y,5
