StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
3257412,ELA,Smarter Balanced Assessment,TS,2495,L2,N
3123786,ELA,Smarter Balanced Assessment,TS,2381,L1,N
3853714,ELA,Smarter Balanced Assessment,NB,,L0,N
6627761,ELA,Smarter Balanced Assessment,TS,2499,L2,N
7470818,ELA,Smarter Balanced Assessment,TS,2487,L2,N
7164855,ELA,Smarter Balanced Assessment,TS,2643,L3,Y
7205860,ELA,Smarter Balanced Assessment,TS,2377,L1,N
6280429,ELA,Smarter Balanced Assessment,TS,2359,L1,N
7034960,ELA,Smarter Balanced Assessment,BL,,L0,N
7676657,ELA,Smarter Balanced Assessment,TS,2332,L1,N
7676657,ELA,Smarter Balanced Assessment,NB,,L0,N
6856444,ELA,Smarter Balanced Assessment,IC,,L0,N
6353457,ELA,Smarter Balanced Assessment,RF,,L0,N
6512478,ELA,Smarter Balanced Assessment,TS,2391,L1,N
6252514,ELA,Smarter Balanced Assessment,RF,,L0,N
3159754,ELA,Smarter Balanced Assessment,TS,2501,L2,N
6306718,ELA,Smarter Balanced Assessment,TS,2478,L2,N
6083589,ELA,Smarter Balanced Assessment,TS,2521,L4,Y
3387411,ELA,Smarter Balanced Assessment,TS,2591,L4,Y
6937589,ELA,Smarter Balanced Assessment,TS,2454,L3,Y
3080731,ELA,Smarter Balanced Assessment,TS,2336,L1,N
3291781,ELA,Smarter Balanced Assessment,NB,,L0,N
6337548,ELA,Smarter Balanced Assessment,TS,2342,L1,N
7172169,ELA,Smarter Balanced Assessment,RF,,L0,N
3815730,ELA,Smarter Balanced Assessment,TS,2518,L3,Y
7716106,ELA,Smarter Balanced Assessment,TS,2421,L1,N
6237454,ELA,Smarter Balanced Assessment,TS,2388,L1,N
3193417,ELA,Smarter Balanced Assessment,TS,2317,L1,N
7460315,ELA,Smarter Balanced Assessment,TS,2417,L1,N
7585849,ELA,Smarter Balanced Assessment,TS,2461,L1,N
6751776,ELA,Smarter Balanced Assessment,TS,2388,L1,N
7077960,ELA,Smarter Balanced Assessment,TS,2640,L3,Y
3368742,ELA,Smarter Balanced Assessment,TS,2342,L1,N
7517170,ELA,Smarter Balanced Assessment,TS,2616,L3,Y
7571651,ELA,Smarter Balanced Assessment,TS,2680,L3,Y
6358530,ELA,Smarter Balanced Assessment,NB,,L0,N
7375107,ELA,Smarter Balanced Assessment,TS,2527,L2,N
6101705,ELA,Smarter Balanced Assessment,TS,2388,L1,N
3485418,ELA,Smarter Balanced Assessment,TS,2283,L1,N
6918700,ELA,Smarter Balanced Assessment,RF,,L0,N
3928418,ELA,Smarter Balanced Assessment,TS,2344,L1,N
7121959,ELA,Smarter Balanced Assessment,NB,,L0,N
6774488,ELA,Smarter Balanced Assessment,TS,2555,L3,Y
3494752,ELA,Smarter Balanced Assessment,TS,2399,L2,N
3817712,ELA,Smarter Balanced Assessment,TS,2370,L2,N
7800851,ELA,Smarter Balanced Assessment,PE,,--,-
7800851,ELA,Smarter Balanced Assessment,PE,,--,-
3988717,ELA,Smarter Balanced Assessment,TS,2418,L2,N
6861754,ELA,Smarter Balanced Assessment,IC,,L0,N
3464749,ELA,Smarter Balanced Assessment,TS,2439,L3,Y
6025559,ELA,Smarter Balanced Assessment,TS,2630,L3,Y
7088933,ELA,Smarter Balanced Assessment,NB,,L0,N
3645712,ELA,Smarter Balanced Assessment,TS,2536,L4,Y
3482715,ELA,Smarter Balanced Assessment,TS,2357,L1,N
6568583,ELA,Smarter Balanced Assessment,TS,2449,L3,Y
6430726,ELA,Smarter Balanced Assessment,TS,2370,L1,N
7653826,ELA,Smarter Balanced Assessment,TS,2648,L3,Y
6664584,ELA,Smarter Balanced Assessment,TS,2662,L3,Y
3660714,ELA,Smarter Balanced Assessment,TS,2375,L2,N
3016744,ELA,Smarter Balanced Assessment,TS,2524,L3,Y
6677765,ELA,Smarter Balanced Assessment,TS,2310,L1,N
3434742,ELA,Smarter Balanced Assessment,TS,2597,L3,Y
6079580,ELA,Smarter Balanced Assessment,TS,2535,L4,Y
3919793,ELA,Smarter Balanced Assessment,NB,,L0,N
6970489,ELA,Smarter Balanced Assessment,TS,2488,L3,Y
3284414,ELA,Smarter Balanced Assessment,TS,2432,L2,N
6905514,ELA,Smarter Balanced Assessment,TS,2411,L2,N
6191449,ELA,Smarter Balanced Assessment,TS,2499,L2,N
3645796,ELA,Smarter Balanced Assessment,NB,,L0,N
7122958,ELA,Smarter Balanced Assessment,TS,2795,L4,Y
7730847,ELA,Smarter Balanced Assessment,TS,2506,L2,N
3444742,ELA,Smarter Balanced Assessment,TS,2407,L1,N
3472719,ELA,Smarter Balanced Assessment,TS,2566,L4,Y
6979583,ELA,Smarter Balanced Assessment,TS,2569,L4,Y
7267108,ELA,Smarter Balanced Assessment,PE,,--,-
6284716,ELA,Smarter Balanced Assessment,TS,2428,L1,N
7699336,ELA,Smarter Balanced Assessment,TS,2334,L1,N
7188946,ELA,Smarter Balanced Assessment,BL,,L0,N
6913413,ELA,Smarter Balanced Assessment,TS,2380,L1,N
6855775,ELA,Smarter Balanced Assessment,TS,2472,L2,N
3093418,ELA,Smarter Balanced Assessment,TS,2553,L2,N
7617668,ELA,Smarter Balanced Assessment,TS,2393,L1,N
7674926,ELA,Smarter Balanced Assessment,TS,2578,L2,N
3501780,ELA,Smarter Balanced Assessment,TS,2537,L2,N
3327788,ELA,Smarter Balanced Assessment,NB,,L0,N
6245775,ELA,Smarter Balanced Assessment,TS,2393,L1,N
7466801,ELA,Smarter Balanced Assessment,RF,,L0,N
6104492,ELA,Smarter Balanced Assessment,BL,,L0,N
3545789,ELA,Smarter Balanced Assessment,NB,,L0,N
