,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Continent
1949,Egypt,1999,Female,Not applicable,Percent,0.5212899999999999,Africa
1944,Egypt,2000,Female,Not applicable,Percent,0.7580899999999999,Africa
1947,Egypt,1999,All genders,Not applicable,Percent,0.8755,Africa
4059,Mauritius,1999,Male,Not applicable,Percent,0.96365,Africa
1946,Egypt,2000,All genders,Not applicable,Percent,1.0022799999999998,Africa
4043,Mauritius,2005,Female,Not applicable,Percent,1.03004,Africa
1937,Egypt,2003,Female,Not applicable,Percent,1.03131,Africa
4019,Mauritius,2013,Female,Not applicable,Percent,1.13124,Africa
4063,Mauritius,1998,Female,Not applicable,Percent,1.15754,Africa
1948,Egypt,1999,Male,Not applicable,Percent,1.19438,Africa
5512,Seychelles,2002,Female,Not applicable,Percent,1.19652,Africa
1945,Egypt,2000,Male,Not applicable,Percent,1.22393,Africa
1935,Egypt,2003,All genders,Not applicable,Percent,1.39773,Africa
4036,Mauritius,2007,Male,Not applicable,Percent,1.43638,Africa
4051,Mauritius,2002,Female,Not applicable,Percent,1.47765,Africa
5514,Seychelles,2001,Male,Not applicable,Percent,1.4962,Africa
4030,Mauritius,2009,Male,Not applicable,Percent,1.50177,Africa
4061,Mauritius,1999,All genders,Not applicable,Percent,1.54913,Africa
4050,Mauritius,2002,All genders,Not applicable,Percent,1.6114,Africa
4052,Mauritius,2002,Male,Not applicable,Percent,1.73187,Africa
1936,Egypt,2003,Male,Not applicable,Percent,1.7389599999999998,Africa
4017,Mauritius,2013,All genders,Not applicable,Percent,1.76145,Africa
4032,Mauritius,2008,Female,Not applicable,Percent,1.81415,Africa
4062,Mauritius,1998,All genders,Not applicable,Percent,1.86999,Africa
1938,Egypt,2002,Female,Not applicable,Percent,1.8984599999999998,Africa
5511,Seychelles,2002,All genders,Not applicable,Percent,2.08208,Africa
4060,Mauritius,1999,Female,Not applicable,Percent,2.15258,Africa
4057,Mauritius,2000,Female,Not applicable,Percent,2.1669099999999997,Africa
4054,Mauritius,2001,Female,Not applicable,Percent,2.19303,Africa
4029,Mauritius,2009,All genders,Not applicable,Percent,2.23263,Africa
4042,Mauritius,2005,All genders,Not applicable,Percent,2.29101,Africa
55,Algeria,2012,Female,Not applicable,Percent,2.32895,Africa
4026,Mauritius,2010,Female,Not applicable,Percent,2.34817,Africa
4039,Mauritius,2006,Male,Not applicable,Percent,2.36219,Africa
4048,Mauritius,2003,Female,Not applicable,Percent,2.37581,Africa
4018,Mauritius,2013,Male,Not applicable,Percent,2.37712,Africa
4020,Mauritius,2012,Female,Not applicable,Percent,2.3888599999999998,Africa
4049,Mauritius,2003,All genders,Not applicable,Percent,2.4523,Africa
4025,Mauritius,2011,Female,Not applicable,Percent,2.4567900000000003,Africa
4040,Mauritius,2006,All genders,Not applicable,Percent,2.52871,Africa
4047,Mauritius,2003,Male,Not applicable,Percent,2.53171,Africa
4064,Mauritius,1998,Male,Not applicable,Percent,2.56298,Africa
4056,Mauritius,2000,All genders,Not applicable,Percent,2.57921,Africa
4028,Mauritius,2010,All genders,Not applicable,Percent,2.60447,Africa
4023,Mauritius,2011,All genders,Not applicable,Percent,2.6611,Africa
4038,Mauritius,2006,Female,Not applicable,Percent,2.7008400000000004,Africa
4035,Mauritius,2007,All genders,Not applicable,Percent,2.7457599999999998,Africa
5516,Seychelles,2001,All genders,Not applicable,Percent,2.79265,Africa
4027,Mauritius,2010,Male,Not applicable,Percent,2.84916,Africa
4024,Mauritius,2011,Male,Not applicable,Percent,2.8684,Africa
66,Algeria,2009,Female,Not applicable,Percent,2.8955599999999997,Africa
5513,Seychelles,2002,Male,Not applicable,Percent,2.90449,Africa
4031,Mauritius,2009,Female,Not applicable,Percent,2.96956,Africa
4058,Mauritius,2000,Male,Not applicable,Percent,2.99073,Africa
1929,Egypt,2009,Female,Not applicable,Percent,3.37054,Africa
5521,Seychelles,1999,Female,Not applicable,Percent,3.37889,Africa
4041,Mauritius,2005,Male,Not applicable,Percent,3.5109,Africa
4055,Mauritius,2001,All genders,Not applicable,Percent,3.67965,Africa
4045,Mauritius,2004,Female,Not applicable,Percent,3.71044,Africa
56,Algeria,2012,All genders,Not applicable,Percent,3.7902099999999996,Africa
4034,Mauritius,2008,All genders,Not applicable,Percent,3.83132,Africa
5522,Seychelles,1999,All genders,Not applicable,Percent,3.8957300000000004,Africa
1927,Egypt,2009,All genders,Not applicable,Percent,3.90231,Africa
1940,Egypt,2002,All genders,Not applicable,Percent,3.9142900000000003,Africa
2076,Eritrea,1999,Male,Not applicable,Percent,4.06299,Africa
4037,Mauritius,2007,Female,Not applicable,Percent,4.07824,Africa
5515,Seychelles,2001,Female,Not applicable,Percent,4.0996,Africa
4044,Mauritius,2004,All genders,Not applicable,Percent,4.130380000000001,Africa
4022,Mauritius,2012,All genders,Not applicable,Percent,4.19319,Africa
1928,Egypt,2009,Male,Not applicable,Percent,4.3974,Africa
5520,Seychelles,1999,Male,Not applicable,Percent,4.4078800000000005,Africa
82,Algeria,2002,Female,Not applicable,Percent,4.431109999999999,Africa
