"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2013","Not applicable","Not applicable","Percent","90.97735"
"Algeria","2003","Not applicable","Not applicable","Percent","88.54183"
"Algeria","2002","Not applicable","Not applicable","Percent","91.09728"
"Andorra","2014","Not applicable","Not applicable","Percent","66.57644"
"Andorra","2013","Not applicable","Not applicable","Percent","63.35327"
"Andorra","2012","Not applicable","Not applicable","Percent","79.10885"
"Andorra","2011","Not applicable","Not applicable","Percent","58.35917"
"Andorra","2010","Not applicable","Not applicable","Percent","58.29021"
"Andorra","2009","Not applicable","Not applicable","Percent","41.19399"
"Andorra","2008","Not applicable","Not applicable","Percent","48.37327"
"Andorra","2007","Not applicable","Not applicable","Percent","43.67312"
"Andorra","2006","Not applicable","Not applicable","Percent","48.73444"
"Andorra","2005","Not applicable","Not applicable","Percent","99.2009"
"Andorra","2004","Not applicable","Not applicable","Percent","99.23829"
"Andorra","2002","Not applicable","Not applicable","Percent","98.22957"
"Anguilla","2002","Not applicable","Not applicable","Percent","91.80712"
"Anguilla","1998","Not applicable","Not applicable","Percent","88.49259"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","86.54841"
"Antigua and Barbuda","2002","Not applicable","Not applicable","Percent","95.0321"
"Antigua and Barbuda","1999","Not applicable","Not applicable","Percent","85.37614"
"Argentina","2013","Not applicable","Not applicable","Percent","93.13023"
"Argentina","2011","Not applicable","Not applicable","Percent","92.94637"
"Argentina","2010","Not applicable","Not applicable","Percent","91.84065"
"Argentina","2009","Not applicable","Not applicable","Percent","90.99225"
"Argentina","2008","Not applicable","Not applicable","Percent","91.0393"
"Argentina","2007","Not applicable","Not applicable","Percent","90.72396"
"Argentina","2006","Not applicable","Not applicable","Percent","91.93323"
"Argentina","2005","Not applicable","Not applicable","Percent","89.87077"
"Argentina","2004","Not applicable","Not applicable","Percent","87.72845"
"Argentina","2003","Not applicable","Not applicable","Percent","89.72115"
"Argentina","2002","Not applicable","Not applicable","Percent","90.26732"
"Argentina","2001","Not applicable","Not applicable","Percent","89.66946"
"Argentina","2000","Not applicable","Not applicable","Percent","89.569"
"Argentina","1999","Not applicable","Not applicable","Percent","93.7444"
"Argentina","1998","Not applicable","Not applicable","Percent","95.98529"
"Armenia","2014","Not applicable","Not applicable","Percent","89.92076"
"Armenia","2012","Not applicable","Not applicable","Percent","95.96869"
"Aruba","2011","Not applicable","Not applicable","Percent","96.37227"
"Aruba","2009","Not applicable","Not applicable","Percent","95.55183"
"Aruba","2008","Not applicable","Not applicable","Percent","95.40527"
"Aruba","2007","Not applicable","Not applicable","Percent","95.86087"
"Aruba","2005","Not applicable","Not applicable","Percent","95.05179"
"Aruba","2004","Not applicable","Not applicable","Percent","95.58698"
"Aruba","2002","Not applicable","Not applicable","Percent","96.30961"
"Aruba","2001","Not applicable","Not applicable","Percent","96.4168"
"Aruba","2000","Not applicable","Not applicable","Percent","94.61452"
"Aruba","1999","Not applicable","Not applicable","Percent","89.39176"
"Aruba","1998","Not applicable","Not applicable","Percent","95.19574"
"Australia","2012","Not applicable","Not applicable","Percent","74.3671"
"Australia","2011","Not applicable","Not applicable","Percent","74.82394"
"Australia","2010","Not applicable","Not applicable","Percent","75.00334"
"Australia","2009","Not applicable","Not applicable","Percent","75.70081"
"Australia","2008","Not applicable","Not applicable","Percent","76.17473"
"Australia","2007","Not applicable","Not applicable","Percent","75.46531"
"Australia","2006","Not applicable","Not applicable","Percent","75.13136"
"Australia","2005","Not applicable","Not applicable","Percent","76.70169"
"Australia","2000","Not applicable","Not applicable","Percent","77.24333"
"Austria","2012","Not applicable","Not applicable","Percent","73.59726"
"Austria","2011","Not applicable","Not applicable","Percent","76.34821"
"Austria","2010","Not applicable","Not applicable","Percent","78.7043"
"Austria","2009","Not applicable","Not applicable","Percent","79.16045"
"Austria","2008","Not applicable","Not applicable","Percent","78.77533"
"Austria","2007","Not applicable","Not applicable","Percent","79.00488"
"Austria","2006","Not applicable","Not applicable","Percent","79.5162"
"Austria","2005","Not applicable","Not applicable","Percent","80.88299"
"Austria","2004","Not applicable","Not applicable","Percent","80.14163"
"Austria","2003","Not applicable","Not applicable","Percent","80.44811"
"Austria","2002","Not applicable","Not applicable","Percent","82.84634"
"Austria","2001","Not applicable","Not applicable","Percent","83.31079"
"Austria","2000","Not applicable","Not applicable","Percent","82.17262"
"Austria","1999","Not applicable","Not applicable","Percent","84.10314"
"Austria","1998","Not applicable","Not applicable","Percent","83.7802"
"Azerbaijan","2013","Not applicable","Not applicable","Percent","86.29425"
"Bahrain","2001","Not applicable","Not applicable","Percent","94.59604"
"Bahrain","1999","Not applicable","Not applicable","Percent","85.5203"
"Bahrain","1998","Not applicable","Not applicable","Percent","85.52497"
"Bangladesh","2011","Not applicable","Not applicable","Percent","83"
"Bangladesh","2010","Not applicable","Not applicable","Percent","77.65502"
"Bangladesh","2009","Not applicable","Not applicable","Percent","81.12007"
"Bangladesh","2008","Not applicable","Not applicable","Percent","82.2467"
"Barbados","2014","Not applicable","Not applicable","Percent","90.96235"
"Barbados","2013","Not applicable","Not applicable","Percent","97.5441"
"Barbados","2012","Not applicable","Not applicable","Percent","96.90316"
"Barbados","2010","Not applicable","Not applicable","Percent","90.87468"
"Barbados","2009","Not applicable","Not applicable","Percent","91.80219"
"Barbados","2008","Not applicable","Not applicable","Percent","86.63122"
"Barbados","2007","Not applicable","Not applicable","Percent","94.66606"
"Barbados","2005","Not applicable","Not applicable","Percent","79.45546"
"Barbados","2004","Not applicable","Not applicable","Percent","73.14868"
"Barbados","2003","Not applicable","Not applicable","Percent","72.67648"
"Barbados","2002","Not applicable","Not applicable","Percent","71.39492"
"Barbados","2001","Not applicable","Not applicable","Percent","94.65151"
"Barbados","2000","Not applicable","Not applicable","Percent","96.86132"
"Barbados","1999","Not applicable","Not applicable","Percent","98.81276"
"Belarus","2006","Not applicable","Not applicable","Percent","77.3875"
"Belarus","2005","Not applicable","Not applicable","Percent","76.17162"
"Belarus","2004","Not applicable","Not applicable","Percent","73.92281"
"Belgium","2012","Not applicable","Not applicable","Percent","90.58248"
"Belgium","2011","Not applicable","Not applicable","Percent","90.08739"
"Belgium","2010","Not applicable","Not applicable","Percent","89.78624"
"Belgium","2009","Not applicable","Not applicable","Percent","91.00804"
"Belgium","2008","Not applicable","Not applicable","Percent","87.9331"
"Belgium","2007","Not applicable","Not applicable","Percent","89.38283"
"Belgium","2005","Not applicable","Not applicable","Percent","89.80938"
"Belgium","2004","Not applicable","Not applicable","Percent","89.96994"
"Belgium","2003","Not applicable","Not applicable","Percent","92.12403"
"Belgium","2002","Not applicable","Not applicable","Percent","90.22518"
"Belgium","2001","Not applicable","Not applicable","Percent","87.51711"
"Belize","2004","Not applicable","Not applicable","Percent","86.60354"
"Belize","2001","Not applicable","Not applicable","Percent","80.77091"
"Belize","2000","Not applicable","Not applicable","Percent","70.65822"
"Benin","2014","Not applicable","Not applicable","Percent","80.81717"
"Benin","2013","Not applicable","Not applicable","Percent","82.51413"
"Benin","2012","Not applicable","Not applicable","Percent","81.16946"
"Benin","2010","Not applicable","Not applicable","Percent","94.775"
"Benin","2009","Not applicable","Not applicable","Percent","82.09997"
"Benin","2008","Not applicable","Not applicable","Percent","79.77096"
"Benin","2007","Not applicable","Not applicable","Percent","89.96146"
"Benin","2006","Not applicable","Not applicable","Percent","93.21284"
"Benin","1998","Not applicable","Not applicable","Percent","86.60727"
"Bhutan","2013","Not applicable","Not applicable","Percent","58.25636"
"Bolivia","2014","Not applicable","Not applicable","Percent","91.80039"
"Bolivia","2012","Not applicable","Not applicable","Percent","77.43745"
"Bolivia","2011","Not applicable","Not applicable","Percent","89.18378"
"Botswana","2009","Not applicable","Not applicable","Percent","74.53876"
"Brazil","2012","Not applicable","Not applicable","Percent","73.48792"
"Brazil","2011","Not applicable","Not applicable","Percent","79.84427"
"Brazil","2010","Not applicable","Not applicable","Percent","75.38006"
"Brazil","2009","Not applicable","Not applicable","Percent","76.27061"
"Brazil","2008","Not applicable","Not applicable","Percent","73.00452"
"Brazil","2007","Not applicable","Not applicable","Percent","73.92348"
"Brazil","2006","Not applicable","Not applicable","Percent","72.85256"
"Brazil","2005","Not applicable","Not applicable","Percent","73.95654"
"Brazil","2004","Not applicable","Not applicable","Percent","70.21362"
"Brazil","2002","Not applicable","Not applicable","Percent","83.24524"
"Brazil","2001","Not applicable","Not applicable","Percent","81.89589"
"Brazil","2000","Not applicable","Not applicable","Percent","80.61967"
"Brazil","1999","Not applicable","Not applicable","Percent","79.16398"
"Brazil","1998","Not applicable","Not applicable","Percent","83.44479"
"British Virgin Islands","2010","Not applicable","Not applicable","Percent","76.72471"
"British Virgin Islands","2009","Not applicable","Not applicable","Percent","68.20219"
"British Virgin Islands","2007","Not applicable","Not applicable","Percent","73.87544"
"British Virgin Islands","2005","Not applicable","Not applicable","Percent","99.30633"
"British Virgin Islands","2004","Not applicable","Not applicable","Percent","97.73673"
"British Virgin Islands","2001","Not applicable","Not applicable","Percent","93.79074"
"Brunei Darussalam","2014","Not applicable","Not applicable","Percent","98.02162"
"Bulgaria","2012","Not applicable","Not applicable","Percent","74.50781"
"Bulgaria","2011","Not applicable","Not applicable","Percent","72.74723"
"Bulgaria","2010","Not applicable","Not applicable","Percent","73.55368"
"Bulgaria","2009","Not applicable","Not applicable","Percent","73.24894"
"Bulgaria","2008","Not applicable","Not applicable","Percent","80.65347"
"Bulgaria","2007","Not applicable","Not applicable","Percent","75.24374"
"Bulgaria","2006","Not applicable","Not applicable","Percent","70.16801"
"Bulgaria","2005","Not applicable","Not applicable","Percent","74.27654"
"Bulgaria","2003","Not applicable","Not applicable","Percent","75.65129"
"Bulgaria","2002","Not applicable","Not applicable","Percent","75.52369"
"Bulgaria","2001","Not applicable","Not applicable","Percent","72.65001"
"Burkina Faso","2012","Not applicable","Not applicable","Percent","77.2212"
"Burkina Faso","2011","Not applicable","Not applicable","Percent","77.79338"
"Burkina Faso","2010","Not applicable","Not applicable","Percent","80.94587"
"Burkina Faso","2007","Not applicable","Not applicable","Percent","94.00725"
"Burundi","2011","Not applicable","Not applicable","Percent","68.62757"
"Burundi","2010","Not applicable","Not applicable","Percent","72.58281"
"Burundi","2009","Not applicable","Not applicable","Percent","69.96764"
"Burundi","2008","Not applicable","Not applicable","Percent","59.51393"
"Burundi","2004","Not applicable","Not applicable","Percent","76.5892"
"Burundi","2002","Not applicable","Not applicable","Percent","69.77359"
"Burundi","2001","Not applicable","Not applicable","Percent","76.46426"
"Burundi","1999","Not applicable","Not applicable","Percent","68.95378"
"Cameroon","2012","Not applicable","Not applicable","Percent","97.34612"
"Cameroon","2011","Not applicable","Not applicable","Percent","97.07743"
"Cameroon","2010","Not applicable","Not applicable","Percent","93.72616"
"Cameroon","2009","Not applicable","Not applicable","Percent","93.53913"
"Cameroon","2008","Not applicable","Not applicable","Percent","94.22804"
"Canada","2012","Not applicable","Not applicable","Percent","79.14213"
"Cape Verde","2013","Not applicable","Not applicable","Percent","96.49821"
"Cape Verde","2009","Not applicable","Not applicable","Percent","97.29034"
"Cape Verde","2006","Not applicable","Not applicable","Percent","97.94601"
"Cape Verde","2005","Not applicable","Not applicable","Percent","98.63905"
"Cape Verde","2004","Not applicable","Not applicable","Percent","93.41355"
"Cape Verde","2002","Not applicable","Not applicable","Percent","90.78198"
"Cayman Islands","2006","Not applicable","Not applicable","Percent","96.1346"
"Central African Republic","2008","Not applicable","Not applicable","Percent","92.8393"
"Central African Republic","2007","Not applicable","Not applicable","Percent","92.59446"
"Central African Republic","2005","Not applicable","Not applicable","Percent","86.24044"
"Chad","2011","Not applicable","Not applicable","Percent","96.69224"
"Chad","2009","Not applicable","Not applicable","Percent","90.8787"
"Chile","2009","Not applicable","Not applicable","Percent","86.64433"
"Chile","2008","Not applicable","Not applicable","Percent","88.67568"
"Chile","2007","Not applicable","Not applicable","Percent","88.25191"
"Chile","2006","Not applicable","Not applicable","Percent","88.20055"
"Chile","2005","Not applicable","Not applicable","Percent","88.34889"
"Chile","2004","Not applicable","Not applicable","Percent","68.91399"
"Chile","2003","Not applicable","Not applicable","Percent","64.5009"
"Chile","2002","Not applicable","Not applicable","Percent","60.1836"
"Chile","1999","Not applicable","Not applicable","Percent","54.46466"
"Chile","1998","Not applicable","Not applicable","Percent","59.37744"
"China","1999","Not applicable","Not applicable","Percent","58.80241"
"Colombia","2014","Not applicable","Not applicable","Percent","92.48822"
"Colombia","2013","Not applicable","Not applicable","Percent","91.46454"
"Colombia","2012","Not applicable","Not applicable","Percent","91.11317"
"Colombia","2011","Not applicable","Not applicable","Percent","91.14297"
"Colombia","2010","Not applicable","Not applicable","Percent","90.98241"
"Colombia","2009","Not applicable","Not applicable","Percent","93.1597"
"Colombia","2008","Not applicable","Not applicable","Percent","75.26207"
"Colombia","2007","Not applicable","Not applicable","Percent","80.06557"
"Colombia","2006","Not applicable","Not applicable","Percent","86.81732"
"Colombia","2005","Not applicable","Not applicable","Percent","80.34384"
"Colombia","2004","Not applicable","Not applicable","Percent","80.34383"
"Colombia","2001","Not applicable","Not applicable","Percent","94.99996"
"Colombia","2000","Not applicable","Not applicable","Percent","95.00008"
"Colombia","1999","Not applicable","Not applicable","Percent","95"
"Colombia","1998","Not applicable","Not applicable","Percent","95.00002"
"Comoros","2012","Not applicable","Not applicable","Percent","98.93236"
"Comoros","2011","Not applicable","Not applicable","Percent","99.07129"
"Comoros","2002","Not applicable","Not applicable","Percent","96.38402"
"Comoros","1998","Not applicable","Not applicable","Percent","100"
"Cook Islands","2013","Not applicable","Not applicable","Percent","0"
"Costa Rica","2014","Not applicable","Not applicable","Percent","82.6038"
"Costa Rica","2013","Not applicable","Not applicable","Percent","83.8966"
"Costa Rica","2011","Not applicable","Not applicable","Percent","83.41254"
"Costa Rica","2010","Not applicable","Not applicable","Percent","83.68365"
"Costa Rica","2009","Not applicable","Not applicable","Percent","83.45768"
"Costa Rica","2008","Not applicable","Not applicable","Percent","81.07963"
"Costa Rica","2007","Not applicable","Not applicable","Percent","81.63191"
"Costa Rica","2006","Not applicable","Not applicable","Percent","88.34332"
"Côte d'Ivoire","2014","Not applicable","Not applicable","Percent","87.94861"
"Cuba","2010","Not applicable","Not applicable","Percent","67.11328"
"Cuba","2009","Not applicable","Not applicable","Percent","58.42025"
"Cuba","2008","Not applicable","Not applicable","Percent","47.43959"
"Cuba","2007","Not applicable","Not applicable","Percent","48.48626"
"Cuba","2006","Not applicable","Not applicable","Percent","61.53504"
"Cuba","2005","Not applicable","Not applicable","Percent","59.93732"
"Cuba","2004","Not applicable","Not applicable","Percent","59.11946"
"Cuba","2002","Not applicable","Not applicable","Percent","60.04573"
"Cuba","2001","Not applicable","Not applicable","Percent","56.85206"
"Cuba","2000","Not applicable","Not applicable","Percent","58.14839"
"Cyprus","2011","Not applicable","Not applicable","Percent","94.37691"
"Cyprus","2010","Not applicable","Not applicable","Percent","92.92024"
"Cyprus","2009","Not applicable","Not applicable","Percent","89.07955"
"Cyprus","2008","Not applicable","Not applicable","Percent","89.53548"
"Cyprus","2007","Not applicable","Not applicable","Percent","90.18903"
"Cyprus","2006","Not applicable","Not applicable","Percent","90.59532"
"Cyprus","2005","Not applicable","Not applicable","Percent","91.61209"
"Cyprus","2004","Not applicable","Not applicable","Percent","91.88014"
"Cyprus","2003","Not applicable","Not applicable","Percent","91.37268"
"Cyprus","2002","Not applicable","Not applicable","Percent","91.11111"
"Cyprus","2001","Not applicable","Not applicable","Percent","91.15793"
"Cyprus","2000","Not applicable","Not applicable","Percent","93.21574"
"Czech Republic","2012","Not applicable","Not applicable","Percent","56.09843"
"Czech Republic","2011","Not applicable","Not applicable","Percent","58.84889"
"Czech Republic","2010","Not applicable","Not applicable","Percent","59.61824"
"Czech Republic","2009","Not applicable","Not applicable","Percent","60.64309"
"Czech Republic","2008","Not applicable","Not applicable","Percent","60.32002"
"Czech Republic","2007","Not applicable","Not applicable","Percent","60.74394"
"Czech Republic","2006","Not applicable","Not applicable","Percent","60.21399"
"Czech Republic","2005","Not applicable","Not applicable","Percent","61.65227"
"Czech Republic","2004","Not applicable","Not applicable","Percent","61.33207"
"Czech Republic","2003","Not applicable","Not applicable","Percent","66.43006"
"Czech Republic","2002","Not applicable","Not applicable","Percent","66.22613"
"Czech Republic","2001","Not applicable","Not applicable","Percent","62.29212"
"Czech Republic","2000","Not applicable","Not applicable","Percent","61.19542"
"Czech Republic","1999","Not applicable","Not applicable","Percent","61.91777"
"Czech Republic","1998","Not applicable","Not applicable","Percent","58.84057"
"Democratic Republic of the Congo","2013","Not applicable","Not applicable","Percent","97.52256"
"Democratic Republic of the Congo","2010","Not applicable","Not applicable","Percent","96.36292"
"Denmark","2011","Not applicable","Not applicable","Percent","57.09225"
"Denmark","2010","Not applicable","Not applicable","Percent","80.05719"
"Denmark","2009","Not applicable","Not applicable","Percent","81.99725"
