"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Afghanistan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26556754","1"
"Afghanistan","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26023100","1"
"Afghanistan","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","25500100","1"
"Afghanistan","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","24987700","1"
"Afghanistan","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","24485600","1"
"Åland Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","28792","2"
"Åland Islands","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","28585","2"
"Åland Islands","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","28428.5","2"
"Åland Islands","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","28181","2"
"Åland Islands","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","27870.5","2"
"Albania","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","2895947",""
"Albania","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2897364",""
"Albania","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2900489",""
"Albania","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","2800138",""
"Albania","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2904780",""
"Albania","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2913021",""
"Algeria","2015","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","39944102.6616223",""
"Algeria","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","39114275",""
"Algeria","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","38297000",""
"Algeria","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","37495000",""
"Algeria","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","36717000",""
"Algeria","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","35978000",""
"American Samoa","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","55519","3"
"American Samoa","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","67380","3"
"Andorra","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","76246","2"
"Andorra","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","78115","2"
"Andorra","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","77180.5","2"
"Andorra","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","79280","2,4"
"Andorra","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","84549","2"
"Angola","2014","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2014","24383301",""
"Anguilla","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","13534.28",""
"Anguilla","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","13388.49",""
"Anguilla","2011","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2014","13550",""
"Anguilla","2011","Total","Both Sexes","Census - de jure - complete tabulation","Provisional figure","2014","13037",""
"Anguilla","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","16372.91",""
"Antigua and Barbuda","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","88566",""
"Antigua and Barbuda","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","85567",""
"Antigua and Barbuda","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","90801",""
"Argentina","2015","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","43137351","5"
"Argentina","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","42673657","5"
"Argentina","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","42205936","5"
"Argentina","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","41735190","5"
"Argentina","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","41262408","5"
"Argentina","2010","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2015","40117096",""
"Argentina","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","40788453","5"
"Armenia","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","3021979",""
"Armenia","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","3150581",""
"Armenia","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","3274285",""
"Armenia","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2013","2871771",""
"Armenia","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","3018854",""
"Armenia","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","3268468",""
"Armenia","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","3256066",""
"Aruba","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","107839.250679351",""
"Aruba","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","106389.515470519",""
"Aruba","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","104574.264391755",""
"Aruba","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","102809.240258999",""
"Aruba","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","101484",""
