Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Kent Bazemore,29,$18089887,$19269662,,,,,Cap Space,$37359549
Miles Plumlee,30,$12500000,$12500000,,,,,Bird Rights,$25000000
Dewayne Dedmon,29,$7200000,,,,,,Cap space,$7200000
Trae Young,20,$5356440,$6273000,$6571800,$8326471,,,1st Round Pick,$11629440
Alex Len,26,$4350000,$4160000,,,,,Room Exception,$8510000
Taurean Waller-Prince,25,$2526840,$3481986,,,,,1st Round pick,$6008826
Justin Anderson,25,$2516048,,,,,,1st Round pick,$2516048
Vince Carter,42,$2393887,,,,,,Minimum Salary,$2393887
John Collins,21,$2299080,$2686560,$4137302,,,,1st Round Pick,$4985640
Kevin Huerter,20,$2250960,$2636280,$2761920,$4253357,,,1st Round Pick,$4887240
DeAndre' Bembry,24,$1634640,$2603982,,,,,1st Round pick,$4238622
Omari Spellman,21,$1620480,$1897800,$1988280,$3588845,,,1st Round Pick,$3518280
Jaylen Adams,23,$236854,$1416852,,,,,,$236854
Isaac Humphries,21,$47371,,,,,,,$47371
Alex Poythress,25, ,,,,,,Two-Way Contract, 
Deyonta Davis,22,,$1645357,,,,,,
Carmelo Anthony,35,$25534253,,,,,,,$25534253
Jeremy Lin,30,$13768421,,,,,,,$13768421
Jamal Crawford,39,$2304226,,,,,,,$2304226
Daniel Hamilton,23,$1349383,,,,,,,$1349383
Jabari Bird,24,$1349383,,,,,,,$1349383
Deyonta Davis,22,$170916,,,,,,,$170916
Tyler Zeller,29,$106974,,,,,,,$106974
B.J. Johnson,23,$94742,,,,,,,$94742
Jordan Sibert,26,$47371,,,,,,,$47371
Team Totals,,$107748156,$58571479,$15459302,$16168673,,,,$163257426
