Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Gordon Hayward,29,$31214295,$32700690,$34187085,,,,Cap space,$63914985
Al Horford,33,$28928710,,,,,,Cap Space,$28928710
Kyrie Irving,27,$20099189,,,,,,Bird Rights,$20099189
Marcus Smart,25,$11660716,$12553471,$13446428,$14339285,,,,$51999900
Jayson Tatum,21,$6700800,$7830000,$9897120,,,,1st Round Pick,$14530800
Marcus Morris,29,$5375000,,,,,,Bird Rights,$5375000
Aron Baynes,32,$5193600,$5453280,,,,,,$10646880
Jaylen Brown,22,$5169960,$6534829,,,,,1st Rd pick,$11704789
Terry Rozier,25,$3050390,,,,,,1st round pick,$3050390
Guerschon Yabusele,23,$2667600,$3117240,$4781846,,,,1st Round Pick,$5784840
Robert Williams,21,$1654440,$1937520,$2029920,$3661976,,,1st Round Pick,$3591960
Daniel Theis,27,$1378242,,,,,,Minimum Salary,$1378242
Semi Ojeleye,24,$1378242,$1618520,$1752950,,,,,$1378242
Brad Wanamaker,29,$838464,,,,,,Minimum Salary,$838464
Jonathan Gibson,31,,,,,,,,
R.J. Hunter,25, ,,,,,,Two-Way Contract, 
PJ Dozier,22, ,,,,,,Two-Way Contract, 
Greg Monroe,29,$122344,,,,,,,$122344
Demetrius Jackson,24,$92857,$92857,$92857,$92857,$92857,$92857,,$557142
Team Totals,,$125524849,$71838407,$66188206,$18094118,$92857,92857,,$223901877
