Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Paul Millsap,34,$29730769,$30500000,,,,,Cap space,$29730769
Nikola Jokic,24,$24605181,$26573595,$28542009,$30510423,$32478837,,,$142710045
Gary Harris,24,$16517857,$17839286,$19160714,$20482143,,,1st Round Pick,$74000000
Mason Plumlee,29,$12917808,$14041096,,,,,Cap space,$26958904
Will Barton,28,$11830358,$12960000,$13920000,$14880000,,,,$38710358
Jamal Murray,22,$3499800,$4444746,,,,,1st Round pick,$7944546
Trey Lyles,23,$3364249,,,,,,1st round pick,$3364249
Michael Porter,20,$2894160,$3389400,$3550800,$5258735,,,1st Round Pick,$6283560
Juan Hernangomez,23,$2166360,$3321030,,,,,1st Round pick,$5487390
Isaiah Thomas,30,$2029463,,,,,,Minimum Salary,$2029463
Torrey Craig,28,$2000000,$2100000,,,,,MLE,$4100000
Tyler Lydon,23,$1874640,,,,,,1st Round Pick,$1874640
Malik Beasley,22,$1773840,$2731714,,,,,1st Round pick,$4505554
Monte Morris,23,$1349383,$1588231,$1663861,,,,Minimum Salary,$2937614
Jarred Vanderbilt,20,$838464,$1663861,$1416852,,,,MLE,$2255316
Brandon Goodwin,23, ,,,,,,Two-Way Contract, 
Thomas Welsh,23, ,,,,,,Two-Way Contract, 
Nick Young,34,$311070,,,,,,,$311070
Emanuel Terry,22,$35000,,,,,,,$35000
Team Totals,,$117738402,$121152959,$68254236,$71131301,$32478837,,,$353238478
