Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Chris Paul,34,$35654150,$38506482,$41358814,$44211146,,,,$159730592
James Harden,29,$30431854,$37800000,$40824000,$43848000,$46872000,,Bird Rights,$152903854
Clint Capela,25,$15293104,$16456522,$17500000,$18543478,$19586957,,,$87380061
Eric Gordon,30,$13500375,$14057730,,,,,Cap Space,$27558105
Iman Shumpert,29,$11011234,,,,,,Bird Rights,$11011234
P.J. Tucker,34,$7969537,$8349039,$7969537,,,,MLE,$18887764
Nene Hilario,36,$3651480,$3825360,,,,,Non-Bird Rights,$7476840
Gerald Green,33,$2393887,,,,,,Minimum Salary,$2393887
Austin Rivers,26,$1155323,,,,,,,$1155323
Kenneth Faried,29,$917272,,,,,,,$917272
Isaiah Hartenstein,21,$838464,$1416852,$1663861,,,,MLE,$838464
Chris Chiozza,23,$90005,,,,,,,$90005
Danuel House,26,,,,,,,,
Gary Clark,24,,,,,,,,
Vince Edwards,23, ,,,,,,Two-Way Contract, 
Trevon Duval,20,,,,,,,,
Michael Frazier,25,,,,,,,,
Zhou Qi,23,$506134,,,,,,,$506134
Terrence Jones,27,$198580,,,,,,,$198580
Troy Williams,24,$122741,$122741,$122741,$122741,$122741,,,$613705
Chris Chiozza,23,$47371,,,,,,,$47371
Team Totals,,$123781511,$120534726,$109438953,$106725365,$66581698,,,$471709191
