Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
LeBron James,34,$35654150,$37436858,$39219565,$41002273,,,,$113310573
Kentavious Caldwell-Pope,26,$12000000,,,,,,,$12000000
Rajon Rondo,33,$9000000,,,,,,,$9000000
Lonzo Ball,21,$7461960,$8719320,$11003782,,,,1st Round Pick,$16181280
Brandon Ingram,21,$5757120,$7265485,,,,,1st Round pick,$13022605
Mike Muscala,27,$5000000,,,,,,Cap space,$5000000
Lance Stephenson,28,$4449000,,,,,,,$4449000
Reggie Bullock,28,$2500000,,,,,,Cap space,$2500000
Tyson Chandler,36,$2393887,,,,,,Minimum Salary,
JaVale McGee,31,$2393887,,,,,,Minimum Salary,$2393887
Moritz Wagner,22,$1762080,$2063520,$3893618,$2161920,,,1st Round Pick,$3825600
Kyle Kuzma,23,$1689840,$1974600,$3562178,,,,1st Round Pick,$3664440
Josh Hart,24,$1655160,$1934160,$3491159,,,,1st Round Pick,$3589320
Isaac Bonga,19,$1000000,$1663861,$1416852,,,,,$2663861
Alex Caruso,25, ,,,,,,Two-Way Contract, 
Jemerrio Jones,24,,,,,,,,
Johnathan Williams,24, ,,,,,,Two-Way Contract, 
Luol Deng,34,$14354067,$4990000,$4990000,$4990000,,,,$29324067
Andre Ingram,33,$76236,,,,,,,$76236
Scott Machado,29,$47371,,,,,,,$47371
Team Totals,,$107194758,$66047804,$67577154,$48154193,,,,$221048240
