Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Joel Embiid,25,$25467250,$27270000,$29290000,$31310000,$33330000,,1st Round Pick,$25467250
Jimmy Butler,29,$20445779,$19841627,,,,,Bird Rights,$20445779
Tobias Harris,26,$14800000,,,,,,Bird Rights,$14800000
J.J. Redick,35,$12250000,,,,,,,$12250000
Boban Marjanovic,30,$7000000,,,,,,Cap Space,$7000000
Ben Simmons,22,$6434520,$8113930,,,,,1st Round pick,$14548450
Jonathon Simmons,29,$6000000,$5700000,,,,,Cap space,$7000000
Mike Scott,30,$4320500,,,,,,MLE,$4320500
Zhaire Smith,20,$2611800,$3058800,$3204600,$4915856,,,1st Round Pick,$5670600
Amir Johnson,32,$2393887,,,,,,Minimum Salary,$2393887
Furkan Korkmaz,21,$1740000,,,,,,1st Round Pick,$1740000
Jonah Bolden,23,$1690000,$1698450,$1766550,$1845000,,,,$3388450
James Ennis,28,$1621415,$1845301,,,,,,$1621415
T.J. McConnell,27,$1600520,,,,,,Minimum Salary,$1600520
Shake Milton,22, ,,,,,,Two-Way Contract, 
Greg Monroe,29,,,,,,,,
Haywood Highsmith,22, ,,,,,,Two-Way Contract, 
Justin Patton,22,$2667600,,,,,,,$2667600
Malachi Richardson,23,$1569360,,,,,,,$1569360
Corey Brewer,33,$270496,,,,,,,$270496
Team Totals,,$112883127,$67528108,$34261150,$38070856,$33330000,,,$126754307
