Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Tyler Johnson,27,$19245370,$19245370,,,,,Cap Space,$19245370
T.J. Warren,25,$11750000,$10810000,$11750000,$12690000,,,1st Round Pick,$47000000
Deandre Ayton,20,$8165160,$9562920,$10018200,$12632950,,,1st Round Pick,$17728080
Josh Jackson,22,$6041520,$7059480,$8930242,,,,1st Round Pick,$13101000
Dragan Bender,21,$4661280,,,,,,1st Round pick,$4661280
Mikal Bridges,22,$3552960,$4161000,$4359000,$5557725,,,1st Round Pick,$7713960
Devin Booker,22,$3314365,$27250000,$29430000,$31610000,$33790000,$35970000,1st round pick,$161364365
Troy Daniels,27,$3258539,,,,,,Cap Space,$3258539
Kelly Oubre,23,$3208630,,,,,,1st round pick,$3208630
Jamal Crawford,39,$2393887,,,,,,Minimum Salary,
Richaun Holmes,25,$1600520,,,,,,Cap Space,$1600520
Elie Okobo,21,$1238464,$1416852,$1663861,$1802057,,,,$2655316
De'Anthony Melton,21,$949000,$1416852,,,,,,$2365852
Jimmer Fredette,30,$198580,$1416852,,,,,,$198580
Ray Spalding,22,$184746,$1416852,,,,,,$184746
George King,25, ,,,,,,Two-Way Contract, 
Tyson Chandler,36,$13585000,,,,,,,$13585000
Austin Rivers,26,$12000000,,,,,,,$12000000
Darrell Arthur,31,$7464912,,,,,,,$7464912
Wayne Ellington,31,$6270000,,,,,,,$6270000
Davon Reed,24,$1378242,,,,,,,$1378242
Isaiah Canaan,28,$456733,,,,,,,$456733
Eric Moreland,27,$239035,,,,,,,$239035
Quincy Acy,28,$213949,,,,,,,$213949
Shaquille Harrison,25,$50000,,,,,,,$50000
Emanuel Terry,22,$47371,,,,,,,$47371
Ray Spalding,22,$47371,,,,,,,$47371
Team Totals,,$111515634,$83756178,$66151303,$64292732,$33790000,35970000,,$326038851
