Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Damian Lillard,28,$27977689,$29802321,$31626953,,,,1st Round Pick,$89406963
CJ McCollum,27,$25759766,$27556959,$29354152,,,,1st Round Pick,$82670877
Evan Turner,30,$17868852,$18606557,,,,,Cap Space,$36475409
Jusuf Nurkic,24,$11111111,$12000000,$12000000,$12000000,,,,$39111111
Maurice Harkless,26,$10837079,$11511234,,,,,Cap Space,$22348313
Meyers Leonard,27,$10595506,$11286515,,,,,Cap Space,$21882021
Al-Farouq Aminu,28,$6957105,,,,,,Cap Space,$6957105
Zach Collins,21,$3628920,$4240200,$5406255,,,,1st Round Pick,$7869120
Rodney Hood,26,$3472887,,,,,,,$3472887
Seth Curry,28,$2795000,,,,,,MLE,$2795000
Anfernee Simons,20,$1835520,$2149560,$2252040,$3938818,,,1st Round Pick,$3985080
Skal Labissiere,23,$1544951,$2338847,,,,,1st Round pick,$3883798
Jake Layman,25,$1544951,,,,,,Cap Space,$1544951
Gary Trent,20,$838464,$1416852,$1663861,,,,MLE,$3919177
Enes Kanter,27,$653556,,,,,,,$653556
Andrew Nicholson,29,$2844429,$2844429,$2844429,$2844429,$2844429,$2844429,,$17066574
Anderson Varejao,36,$1913345,$1913345,$1913345,,,,,$5740035
Festus Ezeli,29,$333333,$333333,,,,,,$666666
Team Totals,,$132512464,$126000152,$87061035,$18783247,$2844429,2844429,,$350448643
