Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Rudy Gobert,27,$23241573,$25008427,$26525281,,,,1st Round Pick,$74775281
Derrick Favors,27,$16900000,$16900000,,,,,,$16000000
Ricky Rubio,28,$14975000,,,,,,1st Round Pick,$14975000
Joe Ingles,31,$13045455,$11954546,$10863637,,,,Bird Rights,$35863638
Dante Exum,23,$9600000,$9600000,$9600000,,,,Cap Space,$27300000
Kyle Korver,38,$7560000,$7500000,,,,,Bird Rights,$11000000
Jae Crowder,28,$7305825,$7815533,,,,,Bird Rights,$15121358
Thabo Sefolosha,35,$5250000,,,,,,Cap space,$5250000
Ekpe Udoh,32,$3360000,,,,,,Room Exception,$3360000
Donovan Mitchell,22,$3111480,$3635760,$5195501,,,,1st Round Pick,$6747240
Raul Neto,27,$2150000,$2150000,,,,,,$2150000
Grayson Allen,23,$2074320,$2429400,$2545320,$4054695,,,1st Round Pick,$4503720
Tony Bradley,21,$1679520,$1962360,$3542060,,,,1st Round Pick,$3641880
Georges Niang,26,$1512601,$1645357,$1783557,,,,,$1512601
Royce O'Neale,26,$1378242,$1618520,,,,,Cap space,$1378242
Tyler Cavanaugh,25, ,,,,,,Two-Way Contract, 
Naz Mitrou-Long,25, ,,,,,,Two-Way Contract, 
Team Totals,,$113144016,$92219903,$60055356,$4054695,,,,$223578960
