Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Bradley Beal\bealbr01,25,$25434263,$27093019,$28751775,,,,Cap Space,$81279057
Jabari Parker\parkeja01,24,$20000000,$20000000,,,,,,$20000000
John Wall\walljo01,28,$19169800,$37800000,$40824000,$43848000,$46872000,,Bird Rights,$141641800
Ian Mahinmi\mahinia01,32,$15944154,$15450051,,,,,Cap Space,$31394205
Trevor Ariza\arizatr01,33,$15000000,,,,,,Cap Space,$15000000
Dwight Howard\howardw01,33,$5337000,$5603850,,,,,MLE,$10940850
Tomas Satoransky\satorto01,27,$3129187,,,,,,Cap Space,$3129187
Sam Dekker\dekkesa01,25,$2760095,,,,,,1st Round pick,$2760095
Troy Brown\browntr01,19,$2749080,$3219480,$3372840,$5170564,,,1st Round Pick,$5968560
Bobby Portis\portibo01,24,$2494346,,,,,,1st Round pick,$2494346
Jeff Green\greenje02,32,$2393887,,,,,,Minimum Salary,$2393887
Thomas Bryant\bryanth01,21,$1378242,,,,,,Minimum Salary,$1378242
Chasson Randle\randlch01,26,$869094,,,,,,Minimum Salary,$869094
Jordan McRae\mcraejo01,28,,,,,,,,
Devin Robinson\robinde01,24,,,,,,,Two-Way Contract,
Tarik Phillip\phillta01,25,,,,,,,,
Wesley Johnson\johnswe01,31,$6134520,,,,,,,$6134520
Martell Webster\webstma02,32,$833333,,,,,,,$833333
Okaro White\whiteok01,26,$264919,,,,,,,$264919
Ron Baker\bakerro01,26,$170915,,,,,,,$170915
John Jenkins\jenkijo01,28,$99290,,,,,,,$99290
Gary Payton\paytoga02,26,$85458,,,,,,,$85458
Team Totals,,$124247583,$109166400,$72948615,$49018564,$46872000,,,$326837758
