SchID,Grade,HomeLanguage,Ethnicity,ReadingPercentTotal,MathPercentTotal
117,7,NA,African-American,54,51.5
249,3,Spanish,Hispanic,26.5,28.5
226,2,Somali,African-American,NA,NA
226,1,Somali,African-American,NA,NA
249,0,NA,African-American,NA,NA
945,2,NA,White,NA,NA
226,2,NA,Hispanic,69.5,78
226,0,Oromo (Ethiopia),African-American,NA,NA
233,5,Spanish,Hispanic,6,32.5
226,1,Somali,African-American,70.5,52.5
226,0,NA,M,NA,34
226,3,Spanish,Hispanic,NA,NA
226,0,NA,M,59.5,60.5
245,3,NA,African-American,4.5,15.5
245,0,NA,African-American,18,56
226,1,Spanish,Hispanic,64.5,72.5
226,0,English,African-American,89.5,62
226,4,Spanish,Hispanic,10.5,15.5
226,0,Japanese,Asian,5,13.5
226,0,NA,White,98.5,NA
244,5,Tigrinya (Tigrigna),African-American,34.5,74
226,5,NA,Hispanic,1,4
218,0,Vietnamese,Asian,5.5,9.5
226,1,Tigrinya (Tigrigna),African-American,52,50.5
117,8,Tigrinya (Tigrigna),African-American,1,1
117,6,Vietnamese,Asian,19,56
226,0,NA,African-American,19,5.5
117,6,NA,African-American,18,31.5
226,4,NA,African-American,11,14
117,8,NA,African-American,47,9
248,0,NA,Asian,27.5,27
226,0,NA,African-American,6,6.5
226,0,NA,M,14,11.5
226,2,Spanish,Hispanic,39,14.5
226,0,NA,White,21.5,28.5
226,1,NA,African-American,3.5,1.5
226,5,NA,M,62.5,33
219,1,NA,African-American,24,59
255,0,NA,Asian,38.5,18.5
233,1,Cantonese,Asian,1,1.5
244,3,Tagalog,Asian,33.5,7
226,4,NA,African-American,24,42.5
226,0,English,African-American,58,61
226,0,NA,African-American,NA,NA
249,0,Oromo (Ethiopia),African-American,NA,NA
249,0,NA,African-American,NA,NA
117,7,NA,White,75.5,76
226,3,NA,African-American,70,72.5
226,0,Ilokano,Asian,NA,25
226,1,NA,African-American,NA,NA
226,0,Somali,African-American,43.5,26
226,0,Tagalog,African-American,6,8.5
226,0,Somali,African-American,32.5,21
226,0,Oromo (Ethiopia),African-American,40.5,46
226,3,NA,African-American,17.5,20.5
244,0,Indonesian,Asian,NA,NA
935,0,NA,White,93.5,93.5
226,0,Spanish,Hispanic,38.5,59
244,0,NA,African-American,NA,NA
233,2,Tigrinya (Tigrigna),African-American,5.5,9
249,2,NA,M,60.5,60
226,0,Cantonese,Asian,25,47.5
249,0,NA,African-American,NA,NA
226,3,NA,White,43,62.5
226,0,English,Hispanic,95,97
226,2,Spanish,Hispanic,3,20.5
226,0,Spanish,Hispanic,33.5,32.5
226,3,Spanish,Hispanic,11,44
226,0,NA,White,NA,NA
244,0,NA,African-American,NA,NA
226,0,Amharic,African-American,80.5,52.5
249,0,English,African-American,NA,NA
244,0,NA,African-American,NA,NA
226,0,NA,Hispanic,NA,47
226,5,Somali,African-American,12.5,6.5
117,8,NA,Asian,73.5,96.5
117,7,NA,Hispanic,NA,NA
248,0,Somali,African-American,12,1.5
226,0,NA,African-American,61,35
226,2,NA,African-American,10,21.5
226,0,NA,I,15.5,7.5
226,0,Spanish,Hispanic,46.5,37.5
226,0,Somali,African-American,20,43.5
245,1,NA,White,59,NA
245,4,NA,White,87.5,70.5
226,4,NA,Hispanic,35,34
226,0,NA,African-American,81.5,28.5
226,2,NA,African-American,37,27
226,5,NA,African-American,62.5,28.5
935,1,Mandarin,Asian,7,1.5
226,5,Oromo (Ethiopia),African-American,32.5,17.5
955,6,NA,White,46.5,25
117,6,Cantonese,Asian,7,58.5
248,5,Somali,African-American,50,71
117,7,NA,M,53,13.5
212,0,Amharic,African-American,NA,8
212,3,Somali,African-American,6,7.5
226,2,Oromo (Ethiopia),African-American,29,20.5
983,7,Cantonese,Asian,1,9
226,1,Somali,African-American,19.5,19
244,2,NA,African-American,33,45.5
103,8,NA,White,71,60.5
244,2,Oromo (Ethiopia),African-American,25.5,23.5
226,1,NA,M,73,78.5
212,2,Somali,African-American,8.5,10.5
226,4,NA,African-American,26.5,14.5
272,4,NA,I,58.5,28.5
935,0,Cantonese,Asian,19,35
935,1,NA,African-American,5.5,9.5
935,1,Amharic,African-American,36.5,16
212,1,Amharic,African-American,52.5,57
272,0,NA,African-American,94.5,97.5
117,7,NA,Hispanic,28,2.5
249,0,NA,White,NA,NA
935,0,Tigrinya (Tigrigna),African-American,49.5,64
226,1,Spanish,Hispanic,4.5,8.5
117,6,NA,Asian,51.5,49.5
272,2,Spanish,Hispanic,15.5,23
245,2,NA,African-American,7.5,39.5
272,1,Spanish,Hispanic,25.5,42
226,2,Toishanese,Asian,35.5,30.5
117,7,Somali,African-American,16,14
244,1,NA,African-American,6.5,2
226,3,Cantonese,Asian,2,26
226,1,Mandarin,Asian,40.5,47.5
272,5,Japanese,Asian,21.5,31
226,3,Vietnamese,Asian,8.5,7.5
288,4,Tigrinya (Tigrigna),African-American,50.5,60
212,5,Somali,African-American,21.5,14.5
226,3,Kurdish,White,26,44.5
983,8,Vietnamese,Asian,1,23.5
226,1,NA,African-American,96.5,95.5
226,0,Oromo (Ethiopia),White,9.5,7
249,0,NA,Hispanic,NA,NA
288,2,Spanish,Hispanic,38,68.5
226,0,Somali,African-American,NA,34
226,0,Cantonese,Asian,80.5,86.5
117,6,Cantonese,Asian,70,80
255,3,Vietnamese,Asian,94,96.5
244,1,Somali,African-American,30,25
211,3,Toishanese,Asian,30.5,22
226,1,Vietnamese,Asian,60,54
272,0,Cantonese,Asian,NA,NA
117,7,Somali,African-American,24.5,10.5
226,1,NA,Asian,98.5,90.5
226,2,Spanish,Hispanic,NA,NA
226,1,Tagalog,Asian,91.5,77.5
226,0,Somali,African-American,9,NA
244,0,NA,M,NA,NA
288,1,Vietnamese,Asian,86,70.5
226,0,Somali,African-American,25.5,25.5
117,7,NA,Hispanic,NA,NA
245,1,Cantonese,Asian,47.5,84
212,3,Somali,African-American,3,8
244,2,Oromo (Ethiopia),African-American,NA,16
272,2,Spanish,Hispanic,61.5,87.5
272,2,Cantonese,Asian,12.5,38
226,2,Spanish,Hispanic,91,91.5
251,1,Somali,African-American,38,36
226,5,Tagalog,Asian,54,65
117,6,Cantonese,Asian,12.5,75
226,2,NA,African-American,NA,NA
226,2,Somali,African-American,NA,NA
218,1,Somali,African-American,20.5,36
935,0,Cantonese,Asian,67.5,73
244,3,Spanish,Hispanic,1,3.5
204,1,NA,White,36.5,29
226,1,Japanese,Asian,62.5,67.5
244,3,NA,African-American,41,25.5
249,0,NA,African-American,NA,NA
117,6,Spanish,Hispanic,69.5,33
935,1,Cantonese,Asian,11,25
212,3,Somali,African-American,22,21.5
226,2,Somali,African-American,66.5,84.5
205,2,Cantonese,Asian,47,68
212,2,English,African-American,4.5,2.5
244,2,NA,White,90,98.5
130,8,NA,African-American,7,6
117,6,Vietnamese,Asian,36,31.5
212,0,Spanish,Hispanic,NA,12.5
226,1,Toishanese,Asian,NA,NA
226,1,Somali,African-American,12.5,22
242,1,NA,White,51,78
117,7,Spanish,Hispanic,39,52.5
226,4,Somali,African-American,53,61
226,2,NA,African-American,47,35
226,0,Somali,African-American,9.5,1.5
983,8,Cantonese,Asian,15,89
226,2,Tigrinya (Tigrigna),African-American,31.5,13
117,8,NA,White,NA,NA
939,3,NA,M,29,13
226,1,Somali,African-American,20,4
244,2,NA,African-American,74,77.5
226,2,Spanish,Hispanic,19,14.5
226,4,Somali,African-American,1,1
212,4,NA,White,92.5,88
117,6,Spanish,Hispanic,NA,NA
275,0,NA,Asian,NA,NA
226,1,NA,African-American,94,90.5
226,1,NA,M,53,48
226,1,Spanish,Hispanic,20,13.5
935,0,English,White,41.5,59.5
226,0,Cantonese,Asian,70.5,94
226,3,Somali,African-American,1,1
935,1,Toishanese,Asian,11.5,34
288,2,NA,African-American,36.5,64
249,5,Spanish,Hispanic,NA,NA
255,1,NA,African-American,21,26
212,1,Oromo (Ethiopia),African-American,1,1.5
226,0,NA,Asian,69,74
226,1,NA,M,1.5,1
226,2,Oromo (Ethiopia),African-American,6.5,7
244,0,Somali,African-American,NA,NA
226,5,Somali,African-American,1,1
226,5,NA,I,83.5,79.5
983,7,Toishanese,Asian,4,33.5
