tab5,ProxyID,TestGradeCode,MspMathScoreS14,MspMathLevelS14,MspMathMetS14,MspReadScoreS14,MspReadLevelS14,MspReadMetS14
5) MSP,3129780,G3,387,L2,0,357,L1,0
5) MSP,3156745,G3,382,L2,0,426,L4,1
5) MSP,3199746,G3,448,L4,1,442,L4,1
5) MSP,3205749,G3,468,L4,1,452,L4,1
5) MSP,3427714,G3,363,L1,0,12,L4,1
5) MSP,3645712,G3,466,L4,1,465,L4,1
5) MSP,3664412,G3,383,L2,0,386,L2,0
5) MSP,3796413,G3,,,,,,
5) MSP,3813412,G3,400,L3,1,400,L3,1
5) MSP,3815730,G3,418,L3,1,414,L3,1
5) MSP,3824746,G3,10,L3,1,12,L4,1
5) MSP,3881412,G3,412,L3,1,416,L3,1
5) MSP,3928418,G3,406,L3,1,,,
5) MSP,3952411,G3,,,,,,
5) MSP,6001455,G3,400,L3,1,389,L2,0
5) MSP,6075475,G3,414,L3,1,426,L4,1
5) MSP,6087755,G3,383,L2,0,,,
5) MSP,6104492,G3,406,L3,1,465,L4,1
5) MSP,6170421,G3,456,L4,1,449,L4,1
5) MSP,6193471,G3,401,L3,1,442,L4,1
5) MSP,6207466,G3,456,L4,1,449,L4,1
5) MSP,6228775,G3,425,L3,1,449,L4,1
5) MSP,6237454,G3,454,L4,1,355,L1,0
5) MSP,6252476,G3,383,L2,0,378,L2,0
5) MSP,6280429,G3,358,L1,0,386,L2,0
5) MSP,6313482,G3,410,L3,1,405,L3,1
5) MSP,6337548,G3,383,L2,0,362,L1,0
5) MSP,6352471,G3,423,L3,1,426,L4,1
5) MSP,6393514,G3,416,L3,1,436,L4,1
5) MSP,6398510,G3,367,L1,0,357,L1,0
5) MSP,6407454,G3,445,L4,1,429,L4,1
5) MSP,6420445,G3,356,L1,0,384,L2,0
5) MSP,6421484,G3,353,L1,0,362,L1,0
5) MSP,6430485,G3,358,L1,0,348,L1,0
5) MSP,6440517,G3,,,,381,L2,0
5) MSP,6454444,G3,401,L3,1,392,L2,0
5) MSP,6494482,G3,342,L1,0,382,MO,1
5) MSP,6507436,G3,438,L4,1,414,L3,1
5) MSP,6507462,G3,436,L4,1,436,L4,1
5) MSP,6511588,G3,386,L2,0,364,L1,0
5) MSP,6512478,G3,412,L3,1,392,L2,0
5) MSP,6552486,G3,466,L4,1,426,L4,1
5) MSP,6557435,G3,363,L1,0,357,L1,0
5) MSP,6572514,G3,448,L4,1,436,L4,1
5) MSP,6578478,G3,375,MO,1,343,L1,0
5) MSP,6598776,G3,466,L4,1,436,L4,1
5) MSP,6601407,G3,375,L2,0,400,L3,1
5) MSP,6601489,G3,414,L3,1,419,L3,1
5) MSP,6602406,G3,375,L2,0,426,L4,1
5) MSP,6604474,G3,391,L2,0,393,L2,0
5) MSP,6611425,G3,445,L4,1,449,L4,1
5) MSP,6662423,G3,423,L3,1,404,L3,1
5) MSP,6668441,G3,345,L1,0,355,L1,0
5) MSP,6680484,G3,466,L4,1,436,L4,1
5) MSP,6682516,G3,425,L3,1,442,L4,1
5) MSP,6728420,G3,406,L3,1,343,L1,0
5) MSP,6775454,G3,454,L4,1,452,L4,1
5) MSP,6783494,G3,387,L2,0,389,L2,0
5) MSP,6785496,G3,436,L4,1,414,L3,1
5) MSP,6828475,G3,445,L4,1,452,L4,1
5) MSP,6828489,G3,408,L3,1,416,L3,1
