,Reference Area,Year,Observation Value,Continent
753,Benin,1981,5,Africa
754,Benin,1980,5,Africa
755,Benin,1979,5,Africa
756,Benin,1978,5,Africa
757,Benin,1977,5,Africa
758,Benin,1976,5,Africa
759,Benin,1975,5,Africa
3998,Mauritius,2014,5,Africa
3999,Mauritius,2013,5,Africa
4000,Mauritius,2012,5,Africa
4001,Mauritius,2011,5,Africa
4002,Mauritius,2010,5,Africa
4003,Mauritius,2009,5,Africa
4004,Mauritius,2008,5,Africa
4005,Mauritius,2007,5,Africa
4006,Mauritius,2006,5,Africa
4007,Mauritius,2005,5,Africa
4008,Mauritius,2004,5,Africa
4009,Mauritius,2003,5,Africa
4010,Mauritius,2002,5,Africa
4011,Mauritius,2001,5,Africa
4012,Mauritius,2000,5,Africa
4013,Mauritius,1999,5,Africa
4014,Mauritius,1998,5,Africa
4015,Mauritius,1997,5,Africa
4016,Mauritius,1996,5,Africa
4017,Mauritius,1995,5,Africa
4018,Mauritius,1994,5,Africa
4019,Mauritius,1993,5,Africa
4020,Mauritius,1992,5,Africa
4021,Mauritius,1991,5,Africa
4022,Mauritius,1990,5,Africa
4023,Mauritius,1989,5,Africa
4024,Mauritius,1988,5,Africa
4025,Mauritius,1987,5,Africa
4026,Mauritius,1986,5,Africa
4027,Mauritius,1985,5,Africa
4028,Mauritius,1984,5,Africa
4029,Mauritius,1983,5,Africa
4030,Mauritius,1982,5,Africa
4031,Mauritius,1981,5,Africa
4032,Mauritius,1980,5,Africa
4033,Mauritius,1979,5,Africa
4034,Mauritius,1978,5,Africa
4035,Mauritius,1977,5,Africa
4036,Mauritius,1976,5,Africa
4037,Mauritius,1975,5,Africa
5651,Sierra Leone,1998,5,Africa
5652,Sierra Leone,1997,5,Africa
5653,Sierra Leone,1996,5,Africa
5654,Sierra Leone,1995,5,Africa
5655,Sierra Leone,1994,5,Africa
5656,Sierra Leone,1993,5,Africa
5657,Sierra Leone,1992,5,Africa
5658,Sierra Leone,1991,5,Africa
5659,Sierra Leone,1990,5,Africa
5660,Sierra Leone,1989,5,Africa
5661,Sierra Leone,1988,5,Africa
5662,Sierra Leone,1987,5,Africa
5663,Sierra Leone,1986,5,Africa
5664,Sierra Leone,1985,5,Africa
5665,Sierra Leone,1984,5,Africa
5666,Sierra Leone,1983,5,Africa
5667,Sierra Leone,1982,5,Africa
5668,Sierra Leone,1981,5,Africa
5669,Sierra Leone,1980,5,Africa
5670,Sierra Leone,1979,5,Africa
5671,Sierra Leone,1978,5,Africa
5672,Sierra Leone,1977,5,Africa
5673,Sierra Leone,1976,5,Africa
5674,Sierra Leone,1975,5,Africa
80,Algeria,2014,6,Africa
81,Algeria,2013,6,Africa
82,Algeria,2012,6,Africa
83,Algeria,2011,6,Africa
84,Algeria,2010,6,Africa
85,Algeria,2009,6,Africa
86,Algeria,2008,6,Africa
87,Algeria,2007,6,Africa
88,Algeria,2006,6,Africa
89,Algeria,2005,6,Africa
90,Algeria,2004,6,Africa
91,Algeria,2003,6,Africa
92,Algeria,2002,6,Africa
93,Algeria,2001,6,Africa
94,Algeria,2000,6,Africa
95,Algeria,1999,6,Africa
96,Algeria,1998,6,Africa
97,Algeria,1997,6,Africa
98,Algeria,1996,6,Africa
99,Algeria,1995,6,Africa
100,Algeria,1994,6,Africa
101,Algeria,1993,6,Africa
102,Algeria,1992,6,Africa
103,Algeria,1991,6,Africa
104,Algeria,1990,6,Africa
105,Algeria,1989,6,Africa
106,Algeria,1988,6,Africa
107,Algeria,1987,6,Africa
108,Algeria,1986,6,Africa
109,Algeria,1985,6,Africa
110,Algeria,1984,6,Africa
111,Algeria,1983,6,Africa
112,Algeria,1982,6,Africa
113,Algeria,1981,6,Africa
114,Algeria,1980,6,Africa
115,Algeria,1979,6,Africa
116,Algeria,1978,6,Africa
117,Algeria,1977,6,Africa
118,Algeria,1976,6,Africa
119,Algeria,1975,6,Africa
160,Angola,2014,6,Africa
161,Angola,2013,6,Africa
162,Angola,2012,6,Africa
163,Angola,2011,6,Africa
164,Angola,2010,6,Africa
165,Angola,2009,6,Africa
166,Angola,2008,6,Africa
167,Angola,2007,6,Africa
168,Angola,2006,6,Africa
169,Angola,2005,6,Africa
170,Angola,2004,6,Africa
171,Angola,2003,6,Africa
172,Angola,2002,6,Africa
173,Angola,2001,6,Africa
174,Angola,2000,6,Africa
175,Angola,1999,6,Africa
176,Angola,1998,6,Africa
177,Angola,1997,6,Africa
178,Angola,1996,6,Africa
179,Angola,1995,6,Africa
180,Angola,1994,6,Africa
181,Angola,1993,6,Africa
182,Angola,1992,6,Africa
183,Angola,1991,6,Africa
184,Angola,1990,6,Africa
185,Angola,1989,6,Africa
186,Angola,1988,6,Africa
187,Angola,1987,6,Africa
188,Angola,1986,6,Africa
189,Angola,1985,6,Africa
190,Angola,1984,6,Africa
191,Angola,1983,6,Africa
192,Angola,1982,6,Africa
193,Angola,1981,6,Africa
194,Angola,1980,6,Africa
195,Angola,1979,6,Africa
196,Angola,1978,6,Africa
197,Angola,1977,6,Africa
198,Angola,1976,6,Africa
199,Angola,1975,6,Africa
720,Benin,2014,6,Africa
721,Benin,2013,6,Africa
722,Benin,2012,6,Africa
723,Benin,2011,6,Africa
724,Benin,2010,6,Africa
725,Benin,2009,6,Africa
726,Benin,2008,6,Africa
727,Benin,2007,6,Africa
728,Benin,2006,6,Africa
729,Benin,2005,6,Africa
730,Benin,2004,6,Africa
731,Benin,2003,6,Africa
732,Benin,2002,6,Africa
733,Benin,2001,6,Africa
734,Benin,2000,6,Africa
735,Benin,1999,6,Africa
736,Benin,1998,6,Africa
737,Benin,1997,6,Africa
738,Benin,1996,6,Africa
739,Benin,1995,6,Africa
740,Benin,1994,6,Africa
741,Benin,1993,6,Africa
742,Benin,1992,6,Africa
743,Benin,1991,6,Africa
744,Benin,1990,6,Africa
745,Benin,1989,6,Africa
746,Benin,1988,6,Africa
747,Benin,1987,6,Africa
748,Benin,1986,6,Africa
749,Benin,1985,6,Africa
750,Benin,1984,6,Africa
751,Benin,1983,6,Africa
752,Benin,1982,6,Africa
880,Botswana,2014,6,Africa
881,Botswana,2013,6,Africa
882,Botswana,2012,6,Africa
883,Botswana,2011,6,Africa
884,Botswana,2010,6,Africa
885,Botswana,2009,6,Africa
886,Botswana,2008,6,Africa
887,Botswana,2007,6,Africa
888,Botswana,2006,6,Africa
889,Botswana,2005,6,Africa
890,Botswana,2004,6,Africa
891,Botswana,2003,6,Africa
892,Botswana,2002,6,Africa
893,Botswana,2001,6,Africa
894,Botswana,2000,6,Africa
895,Botswana,1999,6,Africa
896,Botswana,1998,6,Africa
897,Botswana,1997,6,Africa
898,Botswana,1996,6,Africa
899,Botswana,1995,6,Africa
914,Botswana,1980,6,Africa
915,Botswana,1979,6,Africa
916,Botswana,1978,6,Africa
917,Botswana,1977,6,Africa
918,Botswana,1976,6,Africa
919,Botswana,1975,6,Africa
1080,Cameroon,2014,6,Africa
