"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7713900","1"
"Afghanistan","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8120900","1"
"Albania","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","823779",""
"Albania","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","822053",""
"Albania","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","828442",""
"Albania","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1001680",""
"Albania","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","987959",""
"Albania","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","974100",""
"Albania","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","958600",""
"Albania","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","943500",""
"Albania","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","925500",""
"Albania","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","897042",""
"Albania","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","913742",""
"Albania","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","917151",""
"Albania","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1078209",""
"Albania","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1064767",""
"Albania","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1052600",""
"Albania","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1034700",""
"Albania","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1017000",""
"Albania","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1002700",""
"Algeria","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5971625","2"
"Algeria","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6162303","2"
"American Samoa","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","15082","3"
"American Samoa","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","16092","3"
"Argentina","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1770757","4"
"Argentina","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1781306","4"
"Argentina","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1792608","4"
"Argentina","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1798407",""
"Argentina","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1804295","4"
"Argentina","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1817243","4"
"Argentina","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1961329","4"
