,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Year_x,Value,Notes,Continent,Sub Group,Year_y,Population
0,Argentina,2012,Male,Not applicable,Percent,6.46168,2011,97.9,,South America,Rural Female,2000.0,1817243.0
1,Argentina,2012,Male,Not applicable,Percent,6.46168,2011,97.9,,South America,Rural Male,2000.0,2064546.0
2,Argentina,2012,Male,Not applicable,Percent,6.46168,2010,97.8,,South America,Rural Female,2000.0,1817243.0
3,Argentina,2012,Male,Not applicable,Percent,6.46168,2010,97.8,,South America,Rural Male,2000.0,2064546.0
4,Argentina,2012,Male,Not applicable,Percent,6.46168,2001,97.2,,South America,Rural Female,2000.0,1817243.0
5,Argentina,2012,Male,Not applicable,Percent,6.46168,2001,97.2,,South America,Rural Male,2000.0,2064546.0
6,Argentina,2012,Male,Not applicable,Percent,6.46168,1991,96.1,,South America,Rural Female,2000.0,1817243.0
7,Argentina,2012,Male,Not applicable,Percent,6.46168,1991,96.1,,South America,Rural Male,2000.0,2064546.0
8,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2011,97.9,,South America,Rural Female,2000.0,1817243.0
9,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2011,97.9,,South America,Rural Male,2000.0,2064546.0
10,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2010,97.8,,South America,Rural Female,2000.0,1817243.0
11,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2010,97.8,,South America,Rural Male,2000.0,2064546.0
12,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2001,97.2,,South America,Rural Female,2000.0,1817243.0
13,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2001,97.2,,South America,Rural Male,2000.0,2064546.0
14,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,1991,96.1,,South America,Rural Female,2000.0,1817243.0
15,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,1991,96.1,,South America,Rural Male,2000.0,2064546.0
16,Argentina,2012,Female,Not applicable,Percent,4.35671,2011,97.9,,South America,Rural Female,2000.0,1817243.0
17,Argentina,2012,Female,Not applicable,Percent,4.35671,2011,97.9,,South America,Rural Male,2000.0,2064546.0
18,Argentina,2012,Female,Not applicable,Percent,4.35671,2010,97.8,,South America,Rural Female,2000.0,1817243.0
19,Argentina,2012,Female,Not applicable,Percent,4.35671,2010,97.8,,South America,Rural Male,2000.0,2064546.0
20,Argentina,2012,Female,Not applicable,Percent,4.35671,2001,97.2,,South America,Rural Female,2000.0,1817243.0
21,Argentina,2012,Female,Not applicable,Percent,4.35671,2001,97.2,,South America,Rural Male,2000.0,2064546.0
22,Argentina,2012,Female,Not applicable,Percent,4.35671,1991,96.1,,South America,Rural Female,2000.0,1817243.0
