,Reference Area,Year,Observation Value,Continent
231,Congo,2005,2.96765,Africa
990,South Sudan,2011,3.60448,Africa
387,Gambia,2004,4.30202,Africa
185,Central African Republic,2010,4.38215,Africa
186,Central African Republic,2009,4.4311,Africa
1126,Zambia,2005,4.62364,Africa
390,Gambia,2001,4.66547,Africa
386,Gambia,2005,4.8969,Africa
431,Guinea-Bissau,2010,4.955030000000001,Africa
388,Gambia,2003,5.097230000000001,Africa
1087,Uganda,2010,5.1048599999999995,Africa
187,Central African Republic,2007,5.2247900000000005,Africa
949,Sierra Leone,2013,5.4408199999999995,Africa
385,Gambia,2006,5.48142,Africa
193,Chad,2004,5.51421,Africa
384,Gambia,2007,5.7338,Africa
189,Chad,2011,5.75134,Africa
389,Gambia,2002,5.83765,Africa
170,Cameroon,2011,5.89114,Africa
173,Cameroon,2008,5.89165,Africa
626,Madagascar,1998,5.8952800000000005,Africa
169,Cameroon,2012,6.05134,Africa
192,Chad,2005,6.15551,Africa
1128,Zambia,2000,6.22729,Africa
1085,Uganda,2012,6.3419300000000005,Africa
630,Malawi,2010,6.4576199999999995,Africa
619,Madagascar,2012,6.55103,Africa
620,Madagascar,2011,6.5914600000000005,Africa
655,Mali,2010,6.63828,Africa
171,Cameroon,2010,6.649830000000001,Africa
1058,Togo,2006,6.65928,Africa
176,Cameroon,2005,6.67052,Africa
1086,Uganda,2011,6.737889999999999,Africa
950,Sierra Leone,2012,6.81423,Africa
951,Sierra Leone,2011,6.91228,Africa
190,Chad,2010,6.9432,Africa
898,Rwanda,2011,6.94499,Africa
188,Central African Republic,2006,7.082380000000001,Africa
175,Cameroon,2006,7.09094,Africa
232,Congo,2002,7.09444,Africa
172,Cameroon,2009,7.0994399999999995,Africa
1088,Uganda,2009,7.19083,Africa
896,Rwanda,2013,7.2211,Africa
430,Guinea,2008,7.520169999999999,Africa
174,Cameroon,2007,7.62078,Africa
426,Guinea,2012,7.70627,Africa
622,Madagascar,2008,7.72801,Africa
1127,Zambia,2004,7.808489999999999,Africa
629,Malawi,2011,7.81163,Africa
427,Guinea,2011,7.8174600000000005,Africa
621,Madagascar,2009,7.87443,Africa
1065,Togo,1999,7.88595,Africa
1059,Togo,2005,7.91173,Africa
346,Ethiopia,2010,7.94429,Africa
897,Rwanda,2012,8.01472,Africa
900,Rwanda,2008,8.048630000000001,Africa
631,Malawi,2001,8.1125,Africa
1020,Swaziland,1999,8.316239999999999,Africa
899,Rwanda,2010,8.32789,Africa
1060,Togo,2004,8.49457,Africa
1056,Togo,2008,8.58254,Africa
688,Mauritius,2002,8.58437,Africa
1057,Togo,2007,8.604239999999999,Africa
948,Seychelles,1998,8.61042,Africa
945,Seychelles,2011,8.68985,Africa
675,Mauritania,2005,8.70683,Africa
1018,Swaziland,2001,8.8058,Africa
