Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Paul Millsap\millspa01,34,$29730769,$30500000,,,,,Cap space,$29730769
Nikola Jokic\jokicni01,24,$24605181,$26573595,$28542009,$30510423,$32478837,,,$142710045
Gary Harris\harriga01,24,$16517857,$17839286,$19160714,$20482143,,,1st Round Pick,$74000000
Mason Plumlee\plumlma01,29,$12917808,$14041096,,,,,Cap space,$26958904
Will Barton\bartowi01,28,$11830358,$12960000,$13920000,$14880000,,,,$38710358
Jamal Murray\murraja01,22,$3499800,$4444746,,,,,1st Round pick,$7944546
Trey Lyles\lylestr01,23,$3364249,,,,,,1st round pick,$3364249
Michael Porter\portemi01,20,$2894160,$3389400,$3550800,$5258735,,,1st Round Pick,$6283560
Juan Hernangomez\hernaju01,23,$2166360,$3321030,,,,,1st Round pick,$5487390
Isaiah Thomas\thomais02,30,$2029463,,,,,,Minimum Salary,$2029463
Torrey Craig\craigto01,28,$2000000,$2100000,,,,,MLE,$4100000
Tyler Lydon\lydonty01,23,$1874640,,,,,,1st Round Pick,$1874640
Malik Beasley\beaslma01,22,$1773840,$2731714,,,,,1st Round pick,$4505554
Monte Morris\morrimo01,23,$1349383,$1588231,$1663861,,,,Minimum Salary,$2937614
Jarred Vanderbilt\vandeja01,20,$838464,$1663861,$1416852,,,,MLE,$2255316
Brandon Goodwin\goodwbr01,23,,,,,,,Two-Way Contract,
Thomas Welsh\welshth01,23,,,,,,,Two-Way Contract,
Nick Young\youngni01,34,$311070,,,,,,,$311070
Emanuel Terry\terryem01,22,$35000,,,,,,,$35000
Team Totals,,$117738402,$121152959,$68254236,$71131301,$32478837,,,$353238478
