Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Blake Griffin\griffbl01,30,$32088932,$34234964,$36595996,$38957028,,,Bird Rights,$102919892
Andre Drummond\drumman01,25,$25434263,$27093019,$28751775,,,,Cap Space,$52527282
Reggie Jackson\jacksre01,29,$17043478,$18086956,,,,,Bird Rights,$35130434
Jon Leuer\leuerjo01,30,$10002681,$9508043,,,,,Cap Space,$19510724
Langston Galloway\gallola01,27,$7000000,$7333333,,,,,MLE,$14333333
Ish Smith\smithis01,30,$6000000,,,,,,Cap Space,$6000000
Glenn Robinson\robingl02,25,$4075000,$4150000,,,,,MLE,$4075000
Luke Kennard\kennalu01,22,$3275280,$3827160,$5273826,,,,1st Round Pick,$7102440
Thon Maker\makerth01,22,$2799720,$3569643,,,,,1st Round pick,$6369363
Zaza Pachulia\pachuza01,35,$2393887,,,,,,Minimum Salary,$2393887
Jose Calderon\caldejo01,37,$2393887,,,,,,Minimum Salary,$2393887
Wayne Ellington\ellinwa01,31,$2383076,,,,,,,$2383076
Sviatoslav Mykhailiuk\mykhasv01,22,$1487694,$1416852,$1663861,,,,Cap Space,$1487694
Bruce Brown\brownbr01,22,$838464,$1416852,$1663861,,,,MLE,$2255316
Khyri Thomas\thomakh01,23,$838464,$838464,$1663861,,,,MLE,$1676928
Kalin Lucas\lucaska01,30,,,,,,,Two-Way Contract,
Isaiah Whitehead\whiteis01,24,,,,,,,Two-Way Contract,
Josh Smith\smithjo03,33,$5331729,$5331729,,,,,,$10663458
Henry Ellenson\ellenhe01,22,$1857480,,,,,,,$1857480
Team Totals,,$125244035,$116807015,$75613180,$38957028,,,,$273080194
