Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Stephen Curry\curryst01,31,$37457154,$40231758,$43006362,$45780966,,,Bird Rights,$166476240
Kevin Durant\duranke01,30,$30000000,$31500000,,,,,,$30000000
Klay Thompson\thompkl01,29,$18988725,,,,,,1st Round Pick,$18988725
Draymond Green\greendr01,29,$17469565,$18539130,,,,,Bird Rights,$36008695
Andre Iguodala\iguodan01,35,$16000000,$17185185,,,,,Bird Rights,$33185185
Shaun Livingston\livinsh01,33,$8307692,$7692308,,,,,Bird Rights,$10307692
DeMarcus Cousins\couside01,28,$5337000,,,,,,MLE,$5337000
Andrew Bogut\bogutan01,34,$2393887,,,,,,Minimum Salary,$2393887
Jonas Jerebko\jerebjo01,32,$2165481,,,,,,Minimum Salary,$2165481
Jacob Evans\evansja02,21,$1644240,$1925880,$2017320,$3641263,,,1st Round Pick,$3570120
Kevon Looney\looneke01,23,$1567007,,,,,,,$1567007
Damian Jones\jonesda03,23,$1544951,$2305057,,,,,1st Round pick,$3850008
Quinn Cook\cookqu01,26,$1544951,,,,,,,$1544951
Jordan Bell\belljo01,24,$1378252,,,,,,Minimum Salary,$1378252
Alfonzo McKinnie\mckinal01,26,$1349383,$1588231,,,,,Minimum Salary,$1349383
Marcus Derrickson\derrima01,23,,,,,,,Two-Way Contract,
Damion Lee\leeda03,26,,,,,,,Two-Way Contract,
Jason Thompson\thompja02,32,$945126,,,,,,,$945126
Team Totals,,$148093414,$120967549,$45023682,$49422229,,,,$319067752
