Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Chris Paul\paulch01,34,$35654150,$38506482,$41358814,$44211146,,,,$159730592
James Harden\hardeja01,29,$30431854,$37800000,$40824000,$43848000,$46872000,,Bird Rights,$152903854
Clint Capela\capelca01,25,$15293104,$16456522,$17500000,$18543478,$19586957,,,$87380061
Eric Gordon\gordoer01,30,$13500375,$14057730,,,,,Cap Space,$27558105
Iman Shumpert\shumpim01,28,$11011234,,,,,,Bird Rights,$11011234
P.J. Tucker\tuckepj01,34,$7969537,$8349039,$7969537,,,,MLE,$18887764
Nene Hilario\hilarne01,36,$3651480,$3825360,,,,,Non-Bird Rights,$7476840
Gerald Green\greenge01,33,$2393887,,,,,,Minimum Salary,$2393887
Austin Rivers\riverau01,26,$1155323,,,,,,,$1155323
Kenneth Faried\farieke01,29,$917272,,,,,,,$917272
Isaiah Hartenstein\harteis01,21,$838464,$1416852,$1663861,,,,MLE,$838464
Chris Chiozza\chiozch01,23,$90005,,,,,,,$90005
Trevon Duval\duvaltr01,20,,,,,,,,
Michael Frazier\frazimi01,25,,,,,,,,
Danuel House\houseda01,26,,,,,,,,
Gary Clark\clarkga01,24,,,,,,,,
Vince Edwards\edwarvi01,23,,,,,,,Two-Way Contract,
Zhou Qi\qizh01,23,$506134,,,,,,,$506134
Terrence Jones\joneste01,27,$198580,,,,,,,$198580
Troy Williams\willitr02,24,$122741,$122741,$122741,$122741,$122741,,,$613705
Chris Chiozza\chiozch01,23,$47371,,,,,,,$47371
Team Totals,,$123781511,$120534726,$109438953,$106725365,$66581698,,,$471709191
