Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Jrue Holiday\holidjr01,29,$25976111,$26131111,$26131111,$27020000,,,Bird Rights,$78238333
Anthony Davis\davisan02,26,$25434263,$27093019,$28751775,,,,1st Round Pick,$52527282
Solomon Hill\hillso01,28,$12252928,$13258781,,,,,Cap Space,$25511709
E'Twaun Moore\mooreet01,30,$8808685,$8664928,,,,,Cap Space,$17473613
Julius Randle\randlju01,24,$8641000,$9073050,,,,,MLE,$8641000
Stanley Johnson\johnsst04,23,$3940402,,,,,,1st round pick,$3940402
Elfrid Payton\paytoel01,25,$3000000,,,,,,Bi-annual Exception,$3000000
Darius Miller\milleda01,29,$2205000,,,,,,MLE,$2205000
Ian Clark\clarkia01,28,$1757429,,,,,,Minimum Salary,$1757429
Jahlil Okafor\okafoja01,23,$1567007,$1702486,,,,,Minimum Salary,$1567007
Cheick Diallo\diallch01,22,$1544951,,,,,,Minimum Salary,$1544951
Christian Wood\woodch01,23,$1512601,$1645357,,,,,Minimum Salary,$1512601
Frank Jackson\jacksfr01,21,$1378242,$1618520,,,,,MLE,$1884242
Kenrich Williams\willike04,24,$838464,$1416852,,,,,Minimum Salary,$838464
Dairis Bertans\bertada02,29,$194220,$1416852,,,,,,$194220
Trevon Bluiett\bluietr01,24,,,,,,,Two-Way Contract,
Markieff Morris\morrima02,29,$8600000,,,,,,,$8600000
Jason Smith\smithja02,33,$5450000,,,,,,,$5450000
Tim Frazier\fraziti01,28,$1621415,,,,,,,$1621415
Garlon Green\greenga02,28,$50000,,,,,,,$50000
Troy Williams\willitr02,24,$34183,,,,,,,$34183
Team Totals,,$114806901,$92020956,$54882886,$27020000,,,,$216591851
