Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
DeAndre Jordan\jordade01,30,$22900000,,,,,,,$22900000
Lance Thomas\thomala01,31,$7119650,$7583975,,,,,Cap Space,$8119650
Mario Hezonja\hezonma01,24,$6500000,,,,,,MLE,$6500000
Emmanuel Mudiay\mudiaem01,23,$4294480,,,,,,1st round pick,$4294480
Frank Ntilikina\ntilila01,20,$4155720,$4855800,$6176578,,,,1st Round Pick,$9011520
Dennis Smith\smithde03,21,$3819960,$4463640,$5686677,,,,1st Round Pick,$8283600
Kevin Knox\knoxke01,19,$3739920,$4380120,$4588680,$5845978,,,1st Round Pick,$8120040
Allonzo Trier\trieral01,23,$3382000,$3551100,,,,,Bi-Annual Exception,$3382000
Noah Vonleh\vonleno01,23,$1621415,,,,,,Minimum Salary,$1621415
Luke Kornet\kornelu01,23,$1619000,,,,,,,$1619000
Mitchell Robinson\robinmi01,21,$1485440,$1559712,$1663861,$1802057,,,MLE,$3045152
Damyean Dotson\dotsoda01,25,$1378242,$1618520,,,,,Minimum Salary,$1378242
Henry Ellenson\ellenhe01,22,$341831,$1645357,,,,,,$341831
John Jenkins\jenkijo01,28,$99290,,,,,,,$99290
Isaiah Hicks\hicksis01,24,,,,,,,Two-Way Contract,
Billy Garrett\garrebi01,24,,,,,,,,
Kadeem Allen\allenka01,26,,,,,,,Two-Way Contract,
Wesley Matthews\matthwe02,32,$18622514,,,,,,,$18622514
Enes Kanter\kanteen01,27,$18622514,,,,,,,$18622514
Joakim Noah\noahjo01,34,$18530000,$6431666,$6431666,$6431666,,,,$37824998
Ron Baker\bakerro01,26,$4544400,,,,,,,$4544400
John Jenkins\jenkijo01,28,$99290,,,,,,,$99290
Henry Ellenson\ellenhe01,22,$85458,,,,,,,$85458
Team Totals,,$122961124,$36089890,$24547462,$14079701,,,,$158515394
