Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Harrison Barnes\barneha02,27,$24107258,$25102512,,,,,Cap Space,$24107258
Alec Burks\burksal01,27,$11536515,,,,,,1st Round Pick,$11536515
Bogdan Bogdanovic\bogdabo01,26,$9000000,$8529386,,,,,Cap space,$17529386
Kosta Koufos\koufoko01,30,$8739500,,,,,,Cap Space,$8739500
Marvin Bagley\baglema01,20,$7305600,$8556120,$8963640,$11312114,,,1st Round Pick,$15861720
Nemanja Bjelica\bjeline01,31,$6500000,$6825000,$7150000,,,,,$13325000
De'Aaron Fox\foxde01,21,$5470920,$6392760,$8099627,,,,1st Round Pick,$11863680
Willie Cauley-Stein\caulewi01,25,$4696875,,,,,,1st round pick,$4696875
Buddy Hield\hieldbu01,26,$3833760,$4861208,,,,,1st Round pick,$8694968
Yogi Ferrell\ferreyo01,26,$3000000,$3150000,,,,,Cap Space,$3000000
Harry Giles\gilesha01,21,$2207040,$2578800,$3976510,,,,1st Round Pick,$4785840
Corey Brewer\breweco01,33,$2000000,,,,,,,$2000000
Caleb Swanigan\swanica01,22,$1740000,$2033160,$3665787,,,,1st Round Pick,$3773160
Frank Mason\masonfr01,25,$1378242,$1618520,,,,,,$1378242
B.J. Johnson\johnsbj01,23,$47371,,,,,,,$47371
Wenyen Gabriel\gabriwe01,22,,,,,,,Two-Way Contract,
Troy Williams\willitr02,24,,,,,,,Two-Way Contract,
Ben McLemore\mclembe01,26,$5460000,,,,,,,$5460000
Matt Barnes\barnema02,39,$2133542,$2133541,,,,,,$4267083
Georgios Papagiannis\papagge01,21,$2000400,,,,,,,$2000400
Deyonta Davis\davisde01,22,$1544951,,,,,,,$1544951
Caron Butler\butleca01,39,$517219,,,,,,,$517219
Corey Brewer\breweco01,33,$270496,,,,,,,$270496
Cody Demps\dempsco01,25,$47371,,,,,,,$47371
Team Totals,,$103537060,$71781007,$31855564,$11312114,,,,$145447035
